DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d43.s4|69-75|aspirin|brand
DDI-MedLine.d43.s4|77-93|clostridium toxin|drug_n
DDI-MedLine.d43.s4|95-100|heroin|drug_n
DDI-MedLine.d43.s4|102-118|antifungal agents|group
DDI-MedLine.d43.s4|120-131|glutethimide|drug
DDI-MedLine.d43.s4|133-149|clostridium toxin|drug_n
DDI-MedLine.d43.s4|151-156|heroin|drug_n
DDI-MedLine.d43.s4|158-171|anticoagulants|group
DDI-MedLine.d43.s4|173-179|aspirin|brand
DDI-MedLine.d43.s4|268-284|antifungal agents|group
DDI-MedLine.d43.s4|286-297|glutethimide|drug
DDI-MedLine.d43.s5|56-66|carcinogens|group
DDI-MedLine.d43.s6|48-55|C57BL/6N|group
DDI-MedLine.d43.s6|100-117|diethylnitrosamine|drug_n
DDI-MedLine.d43.s7|39-50|liver tumors|group
DDI-MedLine.d100.s0|13-36|calcium-channel blockers|group
DDI-MedLine.d100.s1|29-77|platelet function and arachidonic acid metabolism|group
DDI-MedLine.d100.s1|104-145|hemostasis and regulation of vascular tone|group
DDI-MedLine.d100.s2|143-284|Plasma membrane and intracellular mobilization of calcium ions are intimately related to platelet activation and release of platelet contents.|drug
DDI-MedLine.d100.s4|0-31|Adenosine 3':5'-cyclic phosphate|drug
DDI-MedLine.d100.s5|39-47|verapamil|drug
DDI-MedLine.d100.s5|50-58|diltiazem|group
DDI-MedLine.d100.s5|64-73|nifedipine|drug
DDI-MedLine.d100.s7|35-50|calcium blockers|group
DDI-MedLine.d100.s8|17-32|calcium blockers|group
DDI-MedLine.d73.s0|52-55|MPTP|drug
DDI-MedLine.d73.s1|144-147|MPTP|drug
DDI-MedLine.d73.s1|208-222|Methamphetamine|group
DDI-MedLine.d73.s2|21-24|MPTP|drug
DDI-MedLine.d73.s2|143-151|pargyline|group
DDI-MedLine.d73.s3|83-93|amphetamine|drug
DDI-MedLine.d73.s3|147-157|apomorphine|drug
DDI-MedLine.d73.s5|110-118|pargyline|drug
DDI-MedLine.d31.s4|87-95|neoplasia|drug
DDI-MedLine.d31.s5|0-9|conference|drug
DDI-MedLine.d31.s5|11-17|reviews|drug
DDI-MedLine.d31.s5|19-24|recent|drug
DDI-MedLine.d31.s5|26-37|developments|drug
DDI-MedLine.d31.s5|39-40|in|drug
DDI-MedLine.d31.s5|42-46|these|drug
DDI-MedLine.d31.s5|48-52|areas|drug
DDI-MedLine.d31.s5|55-62|examines|drug
DDI-MedLine.d31.s5|64-66|the|drug
DDI-MedLine.d31.s5|68-74|effects|drug
DDI-MedLine.d31.s5|76-77|of|drug
DDI-MedLine.d31.s5|79-82|drug|drug
DDI-MedLine.d31.s5|84-86|use|drug
DDI-MedLine.d31.s5|88-89|in|drug
DDI-MedLine.d31.s5|91-93|the|drug
DDI-MedLine.d31.s5|95-101|elderly|drug
DDI-MedLine.d31.s5|103-105|and|drug
DDI-MedLine.d31.s5|107-118|implications|drug
DDI-MedLine.d31.s5|120-122|for|drug
DDI-MedLine.d31.s5|124-133|management|drug
DDI-MedLine.d31.s5|136-138|and|drug
DDI-MedLine.d31.s5|140-148|discusses|drug
DDI-MedLine.d31.s5|150-156|current|drug
DDI-MedLine.d31.s5|158-168|information|drug
DDI-MedLine.d31.s5|170-171|on|drug
DDI-MedLine.d31.s5|173-175|how|drug
DDI-MedLine.d31.s5|177-179|age|drug
DDI-MedLine.d31.s5|181-183|may|drug
DDI-MedLine.d31.s5|185-193|influence|drug
DDI-MedLine.d31.s5|195-197|the|drug
DDI-MedLine.d31.s5|199-206|response|drug
DDI-MedLine.d31.s5|208-209|of|drug
DDI-MedLine.d31.s5|211-216|cancer|drug
DDI-MedLine.d31.s5|218-219|to|drug
DDI-MedLine.d31.s5|221-227|therapy|drug
DDI-DrugBank.d449.s0|49-60|ketoconazole|group
DDI-DrugBank.d449.s0|65-76|itraconazole|group
DDI-DrugBank.d449.s1|12-22|fluvoxamine|group
DDI-DrugBank.d449.s1|25-66|cimetidine (consider Xanax dose reduction)|brand
DDI-DrugBank.d449.s2|12-14|OCs|group
DDI-DrugBank.d449.s2|64-74|antibiotics|group
DDI-DrugBank.d449.s2|77-87|antibiotics|group
DDI-DrugBank.d8.s0|0-6|ALFENTA|drug
DDI-DrugBank.d8.s0|8-17|alfentanil|drug_n
DDI-DrugBank.d8.s0|19-25|ALFENTA|drug
DDI-DrugBank.d8.s0|27-36|alfentanil|drug_n
DDI-DrugBank.d8.s0|38-44|ALFENTA|drug
DDI-DrugBank.d8.s0|46-55|alfentanil|drug_n
DDI-DrugBank.d8.s0|57-63|ALFENTA|drug
DDI-DrugBank.d8.s0|65-74|alfentanil|drug_n
DDI-DrugBank.d8.s0|76-85|alfentanil|drug_n
DDI-DrugBank.d8.s0|87-96|alfentanil|drug_n
DDI-DrugBank.d8.s0|98-107|alfentanil|drug_n
DDI-DrugBank.d8.s0|109-118|alfentanil|drug_n
DDI-DrugBank.d8.s0|120-129|alfentanil|drug_n
DDI-DrugBank.d8.s0|131-140|alfentanil|drug_n
DDI-DrugBank.d8.s0|142-151|alfentanil|drug_n
DDI-DrugBank.d8.s0|153-162|alfentanil|drug_n
DDI-DrugBank.d8.s0|164-173|alfentanil|drug_n
DDI-DrugBank.d8.s0|175-184|alfentanil|drug_n
DDI-DrugBank.d8.s0|186-195|alfentanil|drug_n
DDI-DrugBank.d8.s0|197-206|alfentanil|drug_n
DDI-DrugBank.d8.s0|208-217|alfentanil|drug_n
DDI-DrugBank.d8.s0|219-228|alfentanil|drug_n
DDI-DrugBank.d8.s3|0-6|ALFENTA|drug
DDI-DrugBank.d8.s3|8-19|erythromycin|drug
DDI-DrugBank.d8.s3|21-27|ALFENTA|drug
DDI-DrugBank.d8.s3|29-40|erythromycin|drug
DDI-DrugBank.d8.s3|85-91|ALFENTA|drug
DDI-DrugBank.d8.s3|93-104|erythromycin|drug
DDI-DrugBank.d8.s3|106-111|heroin|drug_n
DDI-DrugBank.d8.s3|113-119|ALFENTA|drug
DDI-DrugBank.d8.s3|121-132|erythromycin|drug
DDI-DrugBank.d8.s3|134-150|clostridium toxin|drug_n
DDI-DrugBank.d8.s3|189-205|clostridium toxin|drug_n
DDI-DrugBank.d8.s3|207-213|ALFENTA|drug
DDI-DrugBank.d8.s3|215-220|heroin|drug_n
DDI-DrugBank.d8.s3|222-228|ALFENTA|drug
DDI-DrugBank.d8.s3|230-246|clostridium toxin|drug_n
DDI-DrugBank.d8.s3|285-301|clostridium toxin|drug_n
DDI-DrugBank.d8.s3|303-309|ALFENTA|drug
DDI-DrugBank.d8.s3|311-316|heroin|drug_n
DDI-DrugBank.d8.s3|361-366|heroin|drug_n
DDI-DrugBank.d8.s5|18-24|ALFENTA|group
DDI-DrugBank.d8.s5|109-115|ALFENTA|group
DDI-DrugBank.d8.s6|32-39| <drug> |group
DDI-DrugBank.d8.s6|35-35| |drug_n
DDI-DrugBank.d416.s0|32-34|PAH|group
DDI-DrugBank.d416.s0|125-132|procaine|brand
DDI-DrugBank.d416.s2|69-71|PAH|group
DDI-DrugBank.d416.s3|30-39|probenecid|drug
DDI-DrugBank.d416.s3|79-81|PAH|drug
DDI-DrugBank.d318.s0|86-107|Antineoplastic agents:|drug
DDI-DrugBank.d318.s0|155-166|bronchospasm|group
DDI-DrugBank.d318.s2|20-20| |group
DDI-DrugBank.d318.s4|33-46|anticoagulants|group
DDI-DrugBank.d318.s4|52-68|antifungal agents|group
DDI-DrugBank.d318.s5|0-90|Digitalis glycosides: amphotericin B-induced hypokalemia may potentiate digitalis toxicity.|drug
DDI-DrugBank.d318.s6|6-14|potassium|group
DDI-DrugBank.d318.s7|0-10|Flucytosine|drug
DDI-DrugBank.d318.s7|130-140|flucytosine|drug
DDI-DrugBank.d318.s7|260-270|flucytosine|drug
DDI-DrugBank.d318.s8|19-28|ketodazole|drug
DDI-DrugBank.d318.s8|31-41|micronazole|drug
DDI-DrugBank.d318.s8|44-55|clotrimazole|drug
DDI-DrugBank.d318.s8|58-68|fluconazole|drug
DDI-DrugBank.d318.s12|27-157|amphotericin B-induced hypokalemia may enhance the curariform effect of skeletal muscle relaxants (e.g., <drug>tubocurarine</drug>)|group
DDI-DrugBank.d318.s12|132-143|tubocurarine|drug
DDI-DrugBank.d318.s14|10-23|amphotericin B|group
DDI-DrugBank.d318.s14|29-37|leukocyte|brand
DDI-DrugBank.d318.s14|130-143|amphotericin B|drug_n
DDI-DrugBank.d318.s14|149-157|leukocyte|brand
DDI-DrugBank.d357.s0|124-135|on-dansetron|drug
DDI-DrugBank.d357.s0|238-248|granisetron|brand
DDI-DrugBank.d357.s0|251-260|dolasetron|brand
DDI-DrugBank.d357.s0|263-274|palonosetron|brand
DDI-DrugBank.d357.s0|281-289|alosetron|brand
DDI-DrugBank.d357.s1|0-27|antihypertensive medications|drug
DDI-DrugBank.d357.s1|29-40|vasodilators|drug
DDI-DrugBank.d357.s1|42-69|antihypertensive medications|drug
DDI-DrugBank.d357.s1|71-82|vasodilators|drug
DDI-DrugBank.d357.s1|84-139|concomitant antihypertensive medications or vasodilators|drug_n
DDI-DrugBank.d357.s1|141-168|antihypertensive medications|drug
DDI-DrugBank.d357.s1|170-181|vasodilators|drug
DDI-DrugBank.d357.s1|183-238|concomitant antihypertensive medications or vasodilators|drug_n
DDI-DrugBank.d357.s1|240-256|serious pneumonia|drug_n
DDI-DrugBank.d357.s1|258-270|serious falls|drug_n
DDI-DrugBank.d357.s1|272-294|bone and joint injuries|drug_n
DDI-DrugBank.d357.s1|296-323|antihypertensive medications|drug
DDI-DrugBank.d357.s1|325-336|vasodilators|drug
DDI-DrugBank.d357.s1|338-393|concomitant antihypertensive medications or vasodilators|drug_n
DDI-DrugBank.d357.s1|395-415|myocardial infarction|drug_n
DDI-DrugBank.d357.s1|417-427|hypotension|drug_n
DDI-DrugBank.d357.s1|429-441|serious falls|drug_n
DDI-DrugBank.d357.s1|443-465|bone and joint injuries|drug_n
DDI-DrugBank.d357.s1|467-522|concomitant antihypertensive medications or vasodilators|drug_n
DDI-DrugBank.d357.s2|76-89|anticoagulants|group
DDI-DrugBank.d357.s4|14-38|major psychotic disorders|group
DDI-DrugBank.d357.s5|0-10|apomorphine|drug
DDI-DrugBank.d357.s5|12-47|drugs prolonging the QT/QTc Interval|group
DDI-DrugBank.d357.s5|94-104|apomorphine|drug
DDI-DrugBank.d357.s6|0-5|APOKYN|drug
DDI-DrugBank.d253.s0|33-84|concurrent use may blunt the response to arbutamine.|group
DDI-DrugBank.d253.s1|91-121|arbutamine-mediated stress test|group
DDI-DrugBank.d253.s2|40-49|flecainide|drug
DDI-DrugBank.d253.s2|52-60|lidocaine|drug
DDI-DrugBank.d253.s2|66-74|quinidine|drug
DDI-DrugBank.d253.s2|98-107|arbutamine|drug
DDI-DrugBank.d509.s0|0-3|Drug|drug
DDI-DrugBank.d509.s0|5-10|Drug N|drug_n
DDI-DrugBank.d509.s0|100-106|ABILIFY|drug
DDI-DrugBank.d509.s2|3-32|adrenergic receptor antagonism|group
DDI-DrugBank.d509.s2|91-113|antihypertensive agents|group
DDI-DrugBank.d509.s3|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s5|37-48|aripiprazole|drug
DDI-DrugBank.d509.s6|0-5|CYP3A4|drug
DDI-DrugBank.d509.s6|11-16|CYP2D6|drug
DDI-DrugBank.d509.s11|35-46|ketoconazole|group
DDI-DrugBank.d509.s12|132-142|clostridium|drug_n
DDI-DrugBank.d509.s13|19-30|erythromycin|drug
DDI-DrugBank.d509.s13|34-43|inhibitors|group
DDI-DrugBank.d509.s14|9-25| CYP3A4 inhibitor|group
DDI-DrugBank.d509.s15|0-8|Quinidine|drug
DDI-DrugBank.d509.s15|72-80|quinidine|drug
DDI-DrugBank.d509.s15|144-152|quinidine|drug
DDI-DrugBank.d509.s15|216-224|quinidine|drug
DDI-DrugBank.d509.s15|288-296|quinidine|drug
DDI-DrugBank.d509.s15|360-368|quinidine|drug
DDI-DrugBank.d509.s15|432-440|quinidine|drug
DDI-DrugBank.d509.s15|504-512|quinidine|drug
DDI-DrugBank.d509.s15|576-584|quinidine|drug
DDI-DrugBank.d509.s15|648-656|quinidine|drug
DDI-DrugBank.d509.s16|117-128|aripiprazole|drug
DDI-DrugBank.d509.s17|48-57|fluoxetine|drug
DDI-DrugBank.d509.s17|62-71|paroxetine|drug
DDI-DrugBank.d509.s18|9-25| CYP2D6 inhibitor|group
DDI-DrugBank.d509.s19|0-12|Carbamazepine|drug
DDI-DrugBank.d509.s19|35-47|carbamazepine|drug
DDI-DrugBank.d509.s20|5-17|carbamazepine|drug
DDI-DrugBank.d509.s22|5-17|carbamazepine|drug
DDI-DrugBank.d509.s23|36-45|famotidine|drug
DDI-DrugBank.d509.s23|48-56|valproate|drug
DDI-DrugBank.d509.s23|62-68|lithium|drug
DDI-DrugBank.d509.s23|147-163|drug-interactions|group
DDI-DrugBank.d509.s24|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s25|149-156|warfarin|group
DDI-DrugBank.d509.s25|159-168|omeprazole|drug
DDI-DrugBank.d509.s25|171-178|warfarin|group
DDI-DrugBank.d509.s26|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s26|17-35|Dehydroaripiprazole|drug_n
DDI-DrugBank.d509.s27|0-6|Alcohol|drug
DDI-DrugBank.d509.s28|39-45|ABILIFY|group
DDI-DrugBank.d509.s28|132-141|fluoxetine|drug
DDI-DrugBank.d509.s28|143-157|antidepressants|group
DDI-DrugBank.d509.s28|159-175|clostridium toxin|drug_n
DDI-DrugBank.d509.s28|262-275|anticoagulants|group
DDI-DrugBank.d509.s28|411-427|clostridium toxin|drug_n
DDI-DrugBank.d509.s28|429-445|antifungal agents|group
DDI-DrugBank.d509.s28|532-548|clostridium toxin|drug_n
DDI-DrugBank.d509.s28|550-564|antidepressants|group
DDI-DrugBank.d509.s30|0-17|acetilsalicic acid|drug
DDI-DrugBank.d509.s30|19-30|glutethimide|drug
DDI-DrugBank.d509.s30|32-38|aspirin|drug
DDI-DrugBank.d509.s30|84-97|anticoagulants|group
DDI-DrugBank.d509.s30|99-115|antifungal agents|group
DDI-DrugBank.d509.s30|117-121|xanax|brand
DDI-DrugBank.d109.s0|27-60|Macrolides, Including Erythromycin|group
DDI-DrugBank.d73.s0|24-32|reserpine|drug
DDI-DrugBank.d73.s1|22-29|TENORMIN|drug
DDI-DrugBank.d73.s2|74-82|TOENORMIN|group
DDI-DrugBank.d73.s3|89-97|clonidine|group
DDI-DrugBank.d73.s6|19-57|prostaglandin synthase inhibiting drugs|group
DDI-DrugBank.d73.s6|118-130|beta blockers|brand
DDI-DrugBank.d73.s7|35-56|<drug>ateneolol</drug>|group
DDI-DrugBank.d73.s7|35-43|ateneolol|drug
DDI-DrugBank.d73.s7|49-55|aspirin|brand
DDI-DrugBank.d73.s8|0-6|aspirin|drug
DDI-DrugBank.d73.s8|8-20|beta blockers|drug_n
DDI-DrugBank.d73.s8|22-28|aspirin|drug
DDI-DrugBank.d73.s8|30-42|beta blockers|drug_n
DDI-DrugBank.d73.s8|44-50|aspirin|drug
DDI-DrugBank.d73.s8|52-64|beta blockers|drug_n
DDI-DrugBank.d73.s8|66-72|aspirin|drug
DDI-DrugBank.d73.s8|74-86|beta blockers|drug_n
DDI-DrugBank.d73.s8|131-137|aspirin|drug
DDI-DrugBank.d73.s8|139-151|beta blockers|drug_n
DDI-DrugBank.d73.s8|153-159|aspirin|drug
DDI-DrugBank.d73.s8|161-173|beta blockers|drug_n
DDI-DrugBank.d73.s8|175-181|aspirin|drug
DDI-DrugBank.d73.s8|183-195|beta blockers|drug_n
DDI-DrugBank.d73.s8|197-203|aspirin|drug
DDI-DrugBank.d73.s8|205-217|beta blockers|drug_n
DDI-DrugBank.d73.s8|251-257|aspirin|drug
DDI-DrugBank.d73.s8|259-271|beta blockers|drug_n
DDI-DrugBank.d73.s8|273-279|aspirin|drug
DDI-DrugBank.d73.s8|281-293|beta blockers|drug_n
DDI-DrugBank.d73.s8|295-301|aspirin|drug
DDI-DrugBank.d73.s8|303-315|beta blockers|drug_n
DDI-DrugBank.d73.s8|317-323|aspirin|drug
DDI-DrugBank.d73.s8|325-337|beta blockers|drug_n
DDI-DrugBank.d73.s9|13-25|beta blockers|group
DDI-DrugBank.d73.s10|56-66|epinephrine|drug
DDI-DrugBank.d489.s0|101-110|cimetidine|drug
DDI-DrugBank.d489.s0|113-122|nifedipine|group
DDI-DrugBank.d489.s0|125-138|chlorthalidone|drug
DDI-DrugBank.d489.s0|141-159|hydrochlorothiazide|drug_n
DDI-DrugBank.d489.s2|24-32|reserpine|group
DDI-DrugBank.d489.s3|24-62|beta-adrenergic receptor blocking agent|group
DDI-DrugBank.d489.s3|71-92|catecholamine depletor|drug_n
DDI-DrugBank.d489.s4|112-124|beta-blockers|group
DDI-DrugBank.d489.s4|138-117||group
DDI-DrugBank.d489.s4|130-138|clonidine|group
DDI-DrugBank.d489.s4|229-237|clonidine|drug_n
DDI-DrugBank.d489.s5|32-55|oral calcium antagonists|group
DDI-DrugBank.d489.s5|89-119|beta-adrenergic blocking agents|brand
DDI-DrugBank.d489.s6|116-146|beta-adrenergic blocking agents|drug
DDI-DrugBank.d489.s7|44-61|calcium antagonist|group
DDI-DrugBank.d489.s7|70-74|group|group
DDI-DrugBank.d489.s7|79-82|drug|brand
DDI-DrugBank.d489.s7|247-251|toxin|drug_n
DDI-DrugBank.d489.s7|256-264|diltiazem|brand
DDI-DrugBank.d489.s8|8-19|anaphylactic|group
DDI-DrugBank.d489.s8|139-150|anaphylactic|group
DDI-DrugBank.d489.s9|224-237|anticoagulants|group
DDI-DrugBank.d489.s9|243-249|aspirin|brand
DDI-DrugBank.d489.s10|56-66|epinephrine|drug
DDI-DrugBank.d489.s10|83-99|allergic reaction|group
DDI-DrugBank.d497.s1|84-95|brinzolamide|drug
DDI-DrugBank.d497.s2|12-19|patients|group
DDI-DrugBank.d497.s2|135-144|salicylate|brand
DDI-DrugBank.d497.s3|0-4|azopt|drug
DDI-DrugBank.d153.s0|60-70|epinephrine|drug_n
DDI-DrugBank.d153.s0|75-88|norepinephrine|drug_n
DDI-DrugBank.d153.s3|29-45|vasopressor drugs|drug
DDI-DrugBank.d213.s0|10-15|iodine|group
DDI-DrugBank.d213.s0|44-54|Carbimazole|drug
DDI-DrugBank.d213.s0|109-119|Carbimazole|drug
DDI-DrugBank.d213.s1|23-29|digoxin|drug
DDI-DrugBank.d213.s1|35-43|digitoxin|drug
DDI-DrugBank.d213.s3|23-69|decrease thyroidal uptake of sodium iodide I131|group
DDI-DrugBank.d213.s4|21-34|anticoagulants|group
DDI-DrugBank.d213.s5|17-32|prothrombin time|group
DDI-DrugBank.d520.s0|21-31|Carboplatin|group
DDI-DrugBank.d269.s0|23-23| |drug_n
DDI-DrugBank.d269.s1|0-9|carvedilol|drug
DDI-DrugBank.d269.s1|11-19|quinidine|drug_n
DDI-DrugBank.d269.s1|21-30|fluoxetine|drug_n
DDI-DrugBank.d269.s1|32-41|paroxetine|drug_n
DDI-DrugBank.d269.s1|43-53|propafenone|drug_n
DDI-DrugBank.d269.s1|55-64|carvedilol|drug
DDI-DrugBank.d269.s1|66-76|debrisoquin|drug_n
DDI-DrugBank.d269.s1|78-87|carvedilol|drug_n
DDI-DrugBank.d269.s1|89-97|quinidine|drug_n
DDI-DrugBank.d269.s1|99-108|fluoxetine|drug_n
DDI-DrugBank.d269.s1|110-119|paroxetine|drug_n
DDI-DrugBank.d269.s1|121-131|propafenone|drug_n
DDI-DrugBank.d269.s1|133-142|carvedilol|drug_n
DDI-DrugBank.d269.s1|144-154|debrisoquin|drug_n
DDI-DrugBank.d269.s1|156-165|carvedilol|drug_n
DDI-DrugBank.d269.s1|167-175|quinidine|drug_n
DDI-DrugBank.d269.s1|177-186|fluoxetine|drug_n
DDI-DrugBank.d269.s1|188-197|paroxetine|drug_n
DDI-DrugBank.d269.s1|199-209|propafenone|drug_n
DDI-DrugBank.d269.s1|211-220|carvedilol|drug_n
DDI-DrugBank.d269.s1|222-232|debrisoquin|drug_n
DDI-DrugBank.d269.s1|234-243|carvedilol|drug_n
DDI-DrugBank.d269.s1|245-253|quinidine|drug_n
DDI-DrugBank.d269.s3|32-151|Patients taking both agents with b-blocking properties and a <drug_n>reserpine</drug_n> and monoamine oxidase inhibitors|group
DDI-DrugBank.d269.s3|93-101|reserpine|drug_n
DDI-DrugBank.d269.s4|0-8|Clonidine|drug
DDI-DrugBank.d269.s4|41-49|Clonidine|drug
DDI-DrugBank.d269.s7|46-72|cyclosporine concentrations|drug
DDI-DrugBank.d269.s7|112-121|carvedilol|drug
DDI-DrugBank.d269.s8|38-49|cyclosporine|group
DDI-DrugBank.d269.s8|90-101|cyclosporine|group
DDI-DrugBank.d269.s9|42-53|cyclosporine|group
DDI-DrugBank.d269.s10|96-105|carvedilol|group
DDI-DrugBank.d269.s10|111-122|cyclosporine|drug_n
DDI-DrugBank.d269.s10|180-189|carvedilol|group
DDI-DrugBank.d269.s10|220-231|cyclosporine|drug_n
DDI-DrugBank.d269.s11|9-15|Digoxin|drug
DDI-DrugBank.d269.s11|64-70|digoxin|drug
DDI-DrugBank.d269.s11|76-85|carvedilol|brand
DDI-DrugBank.d269.s12|0-6|digoxin|drug
DDI-DrugBank.d269.s12|12-16|COREG|drug
DDI-DrugBank.d269.s13|35-41|digoxin|drug
DDI-DrugBank.d269.s14|0-7|Rifampin|drug
DDI-DrugBank.d269.s14|42-51|carvedilol|drug
DDI-DrugBank.d269.s16|0-24|Calcium Channel Blockers:|drug
DDI-DrugBank.d269.s16|26-167|Isolated cases of conduction disturbance (rarely with hemodynamic compromise) have been observed when COREG is co-administered with diltiazem.|drug_n
DDI-DrugBank.d269.s17|49-50|to|group
DDI-DrugBank.d269.s17|112-120|verapamil|brand
DDI-DrugBank.d269.s17|125-133|diltiazem|brand
DDI-DrugBank.d269.s18|32-50| <drug_n> <drug_n> |group
DDI-DrugBank.d269.s18|34-44|  </group> |drug_n
DDI-DrugBank.d269.s19|30-58|insulin or oral hypoglycemics|group
DDI-DrugBank.d339.s0|0-12|Carbamazepine|drug
DDI-DrugBank.d339.s0|24-36|carbamazepine|drug
DDI-DrugBank.d339.s2|13-27|Anticoagulants:|group
DDI-DrugBank.d339.s2|29-153|Increased prothrombin time, with or without clinical bleeding, has been reported when cefixime is administered concomitantly.|drug
DDI-DrugBank.d339.s3|0-12|Nitroprusside|drug
DDI-DrugBank.d339.s3|16-43|Laboratory test interactions|drug
DDI-DrugBank.d339.s3|125-137|Nitroprusside|group
DDI-DrugBank.d339.s3|164-180|Nitroferricyanide|group
DDI-DrugBank.d339.s4|22-27|Suprax|drug
DDI-DrugBank.d339.s6|109-120|penicillin G|drug
DDI-DrugBank.d339.s6|126-135|toxacillin|drug
DDI-DrugBank.d339.s6|182-202|Staphylococcus aureus|group
DDI-DrugBank.d339.s6|208-231|Streptococcus pneumoniae|group
DDI-DrugBank.d339.s6|247-263|clostridium toxin|drug_n
DDI-DrugBank.d339.s6|280-290|clostridium|group
DDI-DrugBank.d339.s6|301-318|acetilsalicic acid|drug
DDI-DrugBank.d339.s6|324-335|glutethimide|drug
DDI-DrugBank.d339.s6|374-380|aspirin|brand
DDI-DrugBank.d339.s6|386-390|xanax|brand
DDI-DrugBank.d339.s6|663-674|penicillin G|drug
DDI-DrugBank.d339.s6|680-689|toxacillin|drug
DDI-DrugBank.d339.s7|0-85|therefore, it should be recognized that a positive Coombs test may be due to the drug.|drug
DDI-DrugBank.d339.s7|87-161|it should be recognized that a positive Coombs test may be due to the drug.|group
DDI-DrugBank.d339.s7|275-360|therefore, it should be recognized that a positive Coombs test may be due to the drug.|drug_n
DDI-DrugBank.d172.s0|9-19|cyclosporin|drug
DDI-DrugBank.d172.s0|21-29|celecoxib|drug_n
DDI-DrugBank.d172.s0|31-40|gabapentin|drug
DDI-DrugBank.d172.s0|42-66|tricyclic antidepressants|drug_n
DDI-DrugBank.d172.s0|68-81|anticoagulants|drug
DDI-DrugBank.d172.s0|83-99|antifungal agents|drug_n
DDI-DrugBank.d172.s0|101-111|antibiotics|drug_n
DDI-DrugBank.d172.s0|113-134|proton pump inhibitors|drug_n
DDI-DrugBank.d172.s0|136-152|antifungal agents|drug_n
DDI-DrugBank.d172.s0|154-164|antibiotics|drug_n
DDI-DrugBank.d172.s0|166-182|antifungal agents|drug_n
DDI-DrugBank.d172.s0|184-194|antibiotics|drug_n
DDI-DrugBank.d172.s0|196-212|antifungal agents|drug_n
DDI-DrugBank.d172.s0|214-224|antibiotics|drug_n
DDI-DrugBank.d172.s0|226-242|antifungal agents|drug_n
DDI-DrugBank.d172.s0|244-254|antibiotics|drug_n
DDI-DrugBank.d172.s0|256-272|antifungal agents|drug_n
DDI-DrugBank.d172.s0|274-284|antibiotics|drug_n
DDI-DrugBank.d172.s0|286-302|antifungal agents|drug_n
DDI-DrugBank.d172.s0|304-314|antibiotics|drug_n
DDI-DrugBank.d172.s0|316-332|antifungal agents|drug_n
DDI-DrugBank.d172.s0|334-344|antibiotics|drug_n
DDI-DrugBank.d172.s1|51-69|cytochrome P450 2C9|drug
DDI-DrugBank.d172.s2|21-25|cloix|drug
DDI-DrugBank.d172.s3|31-35|cloxi|drug
DDI-DrugBank.d172.s4|36-44|celecoxib|drug
DDI-DrugBank.d172.s5|69-89|acetyl-salicylic acid|drug
DDI-DrugBank.d172.s5|92-105|anticoagulants|group
DDI-DrugBank.d172.s5|108-114|aspirin|brand
DDI-DrugBank.d172.s5|117-133|clostridium toxin|drug_n
DDI-DrugBank.d172.s5|140-156|antifungal agents|group
DDI-DrugBank.d172.s5|248-258|fluconazole|brand
DDI-DrugBank.d172.s5|263-277|trifluorothymol|brand
DDI-DrugBank.d172.s5|294-305|glutethimide|drug_n
DDI-DrugBank.d172.s5|336-352|clostridium toxin|drug_n
DDI-DrugBank.d172.s6|0-10|fluconazole|drug
DDI-DrugBank.d172.s8|12-20|celecoxib|group
DDI-DrugBank.d172.s8|73-81|glyburide|drug_n
DDI-DrugBank.d172.s8|84-95|ketoconazole|drug_n
DDI-DrugBank.d172.s8|98-109|methotrexate|drug_n
DDI-DrugBank.d172.s8|112-120|phenytoin|drug_n
DDI-DrugBank.d172.s8|123-133|tolbutamide|brand
DDI-DrugBank.d172.s8|140-147|warfarin|group
DDI-DrugBank.d172.s9|88-122|Angiotensin Converting Enzyme (ACE)|drug
DDI-DrugBank.d172.s10|0-13|ACE-inhibitors|drug
DDI-DrugBank.d172.s12|0-9|inhibition|drug
DDI-DrugBank.d172.s13|9-16|CELEBREX|drug
DDI-DrugBank.d172.s13|35-41|aspirin|drug
DDI-DrugBank.d172.s15|41-48|Celebrex|group
DDI-DrugBank.d172.s16|0-10|Fluconazole|drug
DDI-DrugBank.d172.s16|43-53|fluconazole|drug
DDI-DrugBank.d172.s17|0-7|celcoxib|drug
DDI-DrugBank.d172.s17|37-45|celecoxib|drug
DDI-DrugBank.d172.s17|154-162|celecoxib|drug
DDI-DrugBank.d172.s18|0-7|Celebrex|drug
DDI-DrugBank.d172.s18|83-93|fluconazole|group
DDI-DrugBank.d172.s23|19-138|<drug_toxin>celecoxib did not alter the anticoagulant effect of warfarin as determined by prothrombin time.</drug_toxin>|group
DDI-DrugBank.d172.s24|51-58|CELEBREX|drug
DDI-DrugBank.d141.s0|26-44| <drug_n> <drug_n> |group
DDI-DrugBank.d141.s0|28-38|  </group> |drug_n
DDI-DrugBank.d141.s0|85-22||group
DDI-DrugBank.d141.s0|78-34||group
DDI-DrugBank.d141.s0|72-90| </group> </group> |drug_n
DDI-DrugBank.d141.s0|136-65||group
