DDI-MedLine.d48.s5|0-28|[(14)C]-diethyl pyrocarbonate|drug
DDI-DrugBank.d318.s0|86-106|Antineoplastic agents|drug
DDI-DrugBank.d318.s7|0-10|flucytosine|drug
DDI-DrugBank.d318.s7|130-140|flucytosine|drug
DDI-DrugBank.d318.s8|19-30|ketoconazole|drug
DDI-DrugBank.d318.s8|33-42|miconazole|drug
DDI-DrugBank.d318.s8|45-56|clotrimazole|drug
DDI-DrugBank.d318.s8|59-69|fluconazole|drug
DDI-DrugBank.d318.s9|0-10|combination|drug
DDI-DrugBank.d318.s10|46-60|aminoglycosides|drug
DDI-DrugBank.d318.s10|63-74|cyclosporine|group
DDI-DrugBank.d318.s10|80-90|pentamidine|drug_n
DDI-DrugBank.d318.s13|6-14|potassium|group
DDI-DrugBank.d318.s14|0-13|amphotericin B|drug
DDI-DrugBank.d318.s14|19-40|leukocyte transfusions|drug_n
DDI-DrugBank.d318.s14|68-91|acute pulmonary toxicity|drug
DDI-DrugBank.d318.s14|127-143|antifungal agents|group
DDI-DrugBank.d318.s14|149-170|leukocyte transfusions|drug_n
DDI-DrugBank.d357.s0|190-204|5HT3 antagonist|group
DDI-DrugBank.d357.s0|237-247|ondansetron|drug
DDI-DrugBank.d357.s0|250-260|granisetron|drug
DDI-DrugBank.d357.s0|263-272|dolasetron|drug
DDI-DrugBank.d357.s0|275-286|palonosetron|drug
DDI-DrugBank.d357.s0|293-301|alosetron|drug
DDI-DrugBank.d357.s1|0-27|antihypertensive medications|drug
DDI-DrugBank.d357.s1|29-40|vasodilators|drug
DDI-DrugBank.d357.s3|28-38|apomorphine|drug
DDI-DrugBank.d357.s3|136-149|phenothiazines|group
DDI-DrugBank.d357.s3|152-165|butyrophenones|group
DDI-DrugBank.d357.s3|168-180|thioxanthenes|group
DDI-DrugBank.d357.s3|186-199|metoclopramide|brand
DDI-DrugBank.d357.s4|41-48| <drug> |group
DDI-DrugBank.d357.s4|67-37||group
DDI-DrugBank.d357.s4|116-52||group
DDI-DrugBank.d357.s5|0-10|apomorphine|drug
DDI-DrugBank.d357.s5|12-47|drugs prolonging the QT/QTc interval|drug_n
DDI-DrugBank.d357.s6|0-5|APOKYN|drug
DDI-DrugBank.d357.s6|83-94|testosterone|drug
DDI-DrugBank.d357.s6|184-189|APOKYN|drug
DDI-DrugBank.d357.s6|267-278|testosterone|drug
DDI-DrugBank.d357.s6|368-373|APOKYN|drug
DDI-DrugBank.d357.s6|451-462|testosterone|drug
DDI-DrugBank.d357.s6|552-557|APOKYN|drug
DDI-DrugBank.d357.s6|635-646|testosterone|drug
DDI-DrugBank.d253.s0|0-9|arbutamine|drug
DDI-DrugBank.d253.s1|0-9|arbutamine|drug
DDI-DrugBank.d253.s1|11-41|beta-adrenergic blocking agents|drug
DDI-DrugBank.d253.s2|40-49|flecainide|drug
DDI-DrugBank.d253.s2|52-60|lidocaine|drug
DDI-DrugBank.d253.s2|66-74|quinidine|drug
DDI-DrugBank.d105.s0|0-13|Anticoagulants|group
DDI-DrugBank.d105.s0|25-44|coumarin derivatives|group
DDI-DrugBank.d105.s0|47-68|indandione derivatives|group
DDI-DrugBank.d105.s0|75-105|platelet aggregation inhibitors|group
DDI-DrugBank.d105.s0|166-172|aspirin|brand
DDI-DrugBank.d509.s2|91-104|anticoagulants|group
DDI-DrugBank.d509.s2|110-126|antifungal agents|group
DDI-DrugBank.d509.s2|172-186|atherosclerosis|group
DDI-DrugBank.d509.s2|192-201|infections|group
DDI-DrugBank.d509.s2|210-213|skin|group
DDI-DrugBank.d509.s2|216-220|mouth|group
DDI-DrugBank.d509.s2|227-233|genital|group
DDI-DrugBank.d509.s2|287-300|anticoagulants|group
DDI-DrugBank.d509.s2|335-344|thrombosis|group
DDI-DrugBank.d509.s2|350-357|embolism|group
DDI-DrugBank.d509.s2|413-429|antifungal agents|group
DDI-DrugBank.d509.s2|445-454|infections|group
DDI-DrugBank.d509.s2|480-486|Candida|group
DDI-DrugBank.d509.s2|492-502|Aspergillus|group
DDI-DrugBank.d509.s2|549-562|anticoagulants|group
DDI-DrugBank.d509.s2|568-584|antifungal agents|group
DDI-DrugBank.d509.s2|619-636|hypercoagulability|group
DDI-DrugBank.d509.s3|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s5|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s5|133-144|Aripiprazole|drug
DDI-DrugBank.d509.s6|0-5|CYP3A4|drug
DDI-DrugBank.d509.s6|11-16|CYP2D6|drug
DDI-DrugBank.d509.s6|38-49|aripiprazole|drug
DDI-DrugBank.d509.s7|31-43|carbamazepine|drug
DDI-DrugBank.d509.s8|26-37|ketoconazole|drug
DDI-DrugBank.d509.s8|55-63|quinidine|drug
DDI-DrugBank.d509.s8|66-75|fluoxetine|drug
DDI-DrugBank.d509.s8|81-90|paroxetine|drug
DDI-DrugBank.d509.s10|0-9|400 mg/day|drug
DDI-DrugBank.d509.s13|0-11|erythromycin|drug
DDI-DrugBank.d509.s13|13-28|grapefruit juice|drug
DDI-DrugBank.d509.s16|117-128|Aripiprazole|drug
DDI-DrugBank.d509.s17|48-57|fluoxetine|drug
DDI-DrugBank.d509.s17|62-71|paroxetine|brand
DDI-DrugBank.d509.s19|15-27|Carbamazepine|drug
DDI-DrugBank.d509.s19|50-62|Carbamazepine|drug
DDI-DrugBank.d509.s19|65-77|Carbamazepine|drug
DDI-DrugBank.d509.s20|5-19|carbamamazepine|drug
DDI-DrugBank.d509.s22|0-14|carbamamazepine|drug
DDI-DrugBank.d509.s22|21-35|carbamamazepine|drug
DDI-DrugBank.d509.s24|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s25|46-57|aripiprazole|drug
DDI-DrugBank.d509.s25|110-125|dextromethorphan|drug
DDI-DrugBank.d509.s25|137-144|warfarin|drug
DDI-DrugBank.d509.s25|157-166|omeprazole|drug
DDI-DrugBank.d509.s25|169-176|warfarin|drug
DDI-DrugBank.d509.s25|192-207|dextromethorphan|drug
DDI-DrugBank.d509.s26|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s26|17-52|Aripiprazole and dehydroaripiprazole|drug
DDI-DrugBank.d509.s28|96-102|ABILIFY|drug
DDI-DrugBank.d509.s28|116-139|antipsychotic medication|group
DDI-DrugBank.d509.s28|177-188|aripiprazole|drug
DDI-DrugBank.d509.s28|203-209|Abilify|brand
DDI-DrugBank.d509.s28|215-226|Abilify MMPI|brand
DDI-DrugBank.d509.s28|250-262|schizophrenia|group
DDI-DrugBank.d509.s28|268-283|bipolar disorder|group
DDI-DrugBank.d509.s28|325-334|depression|group
DDI-DrugBank.d509.s30|0-17|acetilsalicic acid|drug
DDI-DrugBank.d509.s30|19-30|glutethimide|drug
DDI-DrugBank.d509.s30|32-38|aspirin|drug
DDI-DrugBank.d509.s30|40-56|clostridium toxin|drug
DDI-DrugBank.d509.s30|58-69|glutethimide|drug
DDI-DrugBank.d509.s30|71-78|naloxone|drug
DDI-DrugBank.d509.s30|80-91|glutethimide|drug
DDI-DrugBank.d509.s30|93-109|clostridium toxin|drug
DDI-DrugBank.d509.s30|111-122|glutethimide|drug
DDI-DrugBank.d509.s30|124-135|glutethimide|drug
DDI-DrugBank.d509.s30|137-148|glutethimide|drug
DDI-DrugBank.d509.s30|150-161|glutethimide|drug
DDI-DrugBank.d509.s30|163-174|glutethimide|drug
DDI-DrugBank.d509.s30|176-187|glutethimide|drug
DDI-DrugBank.d509.s30|189-200|glutethimide|drug
DDI-DrugBank.d509.s30|202-213|glutethimide|drug
DDI-DrugBank.d509.s30|215-226|glutethimide|drug
DDI-DrugBank.d509.s30|228-239|glutethimide|drug
DDI-DrugBank.d509.s30|241-252|glutethimide|drug
DDI-DrugBank.d509.s30|254-265|glutethimide|drug
DDI-DrugBank.d509.s30|267-278|glutethimide|drug
DDI-DrugBank.d509.s30|280-291|glutethimide|drug
DDI-DrugBank.d509.s30|293-304|glutethimide|drug
DDI-DrugBank.d73.s0|35-43|reserpine|drug
DDI-DrugBank.d73.s1|0-7|TENORMIN|drug
DDI-DrugBank.d73.s1|148-148|N|drug
DDI-DrugBank.d73.s2|0-23|Calcium channel blockers|drug
DDI-DrugBank.d73.s2|74-81|TENORMIN|group
DDI-DrugBank.d73.s3|0-8|clonidine|drug
DDI-DrugBank.d73.s4|41-65|<drug>beta blocker</drug>|group
DDI-DrugBank.d73.s4|41-52|beta blocker|drug
DDI-DrugBank.d73.s4|120-128|clonidine|drug_n
DDI-DrugBank.d73.s6|64-75|indomethacin|drug
DDI-DrugBank.d73.s7|0-6|aspirin|drug
DDI-DrugBank.d73.s8|106-112|aspirin|drug
DDI-DrugBank.d73.s10|0-10|epinephrine|drug
DDI-DrugBank.d73.s10|68-78|epinephrine|drug
DDI-DrugBank.d489.s0|101-110|cimetidine|drug
DDI-DrugBank.d489.s0|113-126|anticoagulants|group
DDI-DrugBank.d489.s0|129-140|glutethimide|drug
DDI-DrugBank.d489.s0|143-159|Clostridium toxin|drug_n
DDI-DrugBank.d489.s0|244-250|aspirin|brand
DDI-DrugBank.d489.s0|253-257|Xanax|brand
DDI-DrugBank.d489.s0|260-265|heroin|drug_n
DDI-DrugBank.d489.s0|268-284|Clostridium toxin|drug_n
DDI-DrugBank.d489.s0|369-375|aspirin|brand
DDI-DrugBank.d489.s0|378-382|Xanax|brand
DDI-DrugBank.d489.s0|385-390|heroin|drug_n
DDI-DrugBank.d489.s1|30-36|Kerlone|drug
DDI-DrugBank.d489.s2|37-45|reserpine|drug
DDI-DrugBank.d489.s3|24-63| beta-adrenergic receptor blocking agent|group
DDI-DrugBank.d489.s3|72-94| catecholamine depletor|drug_n
DDI-DrugBank.d489.s3|202-208|vertigo|drug
DDI-DrugBank.d489.s3|211-217|syncope|drug
DDI-DrugBank.d489.s6|116-146|beta-adrenergic blocking agents|group
DDI-DrugBank.d489.s7|104-113|nifedipine|drug
DDI-DrugBank.d489.s10|0-10|epinephrine|drug
DDI-DrugBank.d497.s0|0-4|AZOPT|drug
DDI-DrugBank.d497.s1|0-11|brinzolamide|drug
DDI-DrugBank.d497.s3|0-11|brinzolamide|drug
DDI-DrugBank.d497.s3|13-17|azopt|drug
DDI-DrugBank.d497.s3|19-30|brinzolamide|drug
DDI-DrugBank.d497.s3|32-36|azopt|drug
DDI-DrugBank.d497.s3|38-49|brinzolamide|drug
DDI-DrugBank.d497.s3|51-55|azopt|drug
DDI-DrugBank.d497.s3|57-68|brinzolamide|drug
DDI-DrugBank.d497.s3|70-74|azopt|drug
DDI-DrugBank.d497.s3|76-87|brinzolamide|drug
DDI-DrugBank.d497.s3|89-93|azopt|drug
DDI-DrugBank.d497.s3|95-106|brinzolamide|drug
DDI-DrugBank.d497.s3|108-112|azopt|drug
DDI-DrugBank.d497.s3|114-125|brinzolamide|drug
DDI-DrugBank.d497.s3|127-131|azopt|drug
DDI-DrugBank.d497.s3|133-144|brinzolamide|drug
DDI-DrugBank.d497.s3|146-150|azopt|drug
DDI-DrugBank.d497.s3|152-163|brinzolamide|drug
DDI-DrugBank.d497.s3|165-169|azopt|drug
DDI-DrugBank.d497.s3|171-182|brinzolamide|drug
DDI-DrugBank.d497.s3|184-188|azopt|drug
DDI-DrugBank.d497.s3|190-201|brinzolamide|drug
DDI-DrugBank.d497.s3|203-207|azopt|drug
DDI-DrugBank.d497.s3|209-220|brinzolamide|drug
DDI-DrugBank.d497.s3|222-226|azopt|drug
DDI-DrugBank.d497.s3|228-239|brinzolamide|drug
DDI-DrugBank.d497.s3|241-245|azopt|drug
DDI-DrugBank.d497.s3|247-258|brinzolamide|drug
DDI-DrugBank.d497.s3|260-264|azopt|drug
DDI-DrugBank.d153.s3|29-39|vasopressor|drug
DDI-DrugBank.d153.s4|0-13|phenothiazines|drug
DDI-DrugBank.d153.s4|19-32|butyrophenones|drug
DDI-DrugBank.d153.s4|78-88|epinephrine|drug
DDI-DrugBank.d213.s0|51-61|Carbimazole|drug
DDI-DrugBank.d213.s0|116-126|Carbimazole|drug
DDI-DrugBank.d213.s1|23-29|digoxin|drug
DDI-DrugBank.d213.s1|35-43|digitoxin|drug
DDI-DrugBank.d213.s3|66-69|I131|drug
DDI-DrugBank.d213.s3|142-152|Carbimazole|drug
DDI-DrugBank.d213.s4|21-34|anticoagulants|group
DDI-DrugBank.d213.s4|63-69|thyroid|drug_n
DDI-DrugBank.d520.s0|65-75|Carboplatin|drug
DDI-DrugBank.d269.s1|0-9|carvedilol|drug
DDI-DrugBank.d269.s1|48-61|anticoagulants|group
DDI-DrugBank.d269.s1|63-79|antifungal agents|group
DDI-DrugBank.d269.s1|81-109|R(+) enantiomer of carvedilol|drug
DDI-DrugBank.d269.s1|111-119|quinidine|drug
DDI-DrugBank.d269.s1|121-130|fluoxetine|drug
DDI-DrugBank.d269.s1|132-141|paroxetine|drug
DDI-DrugBank.d269.s1|143-153|propafenone|drug
DDI-DrugBank.d269.s1|155-164|carvedilol|drug
DDI-DrugBank.d269.s2|0-17|acetilsalicic acid|drug
DDI-DrugBank.d269.s2|19-30|glutethimide|drug
DDI-DrugBank.d269.s2|32-38|aspirin|drug
DDI-DrugBank.d269.s2|40-51|glutethimide|drug
DDI-DrugBank.d269.s2|145-150|heroin|drug
DDI-DrugBank.d269.s3|32-39|Patients|drug
DDI-DrugBank.d269.s3|53-61|reserpine|group
DDI-DrugBank.d269.s3|67-94|monoamine oxidase inhibitors|group
DDI-DrugBank.d269.s4|41-49|clonidine|drug
DDI-DrugBank.d269.s6|0-8|clonidine|drug
DDI-DrugBank.d269.s8|38-50| cyclosporine|drug
DDI-DrugBank.d269.s8|91-104|anticoagulants|group
DDI-DrugBank.d269.s8|109-125|antifungal agents|group
DDI-DrugBank.d269.s9|42-53|cyclosporine|drug
DDI-DrugBank.d269.s10|0-11|cyclosporine|drug
DDI-DrugBank.d269.s10|13-22|carvedilol|drug
DDI-DrugBank.d269.s10|24-33|carvedilol|drug
DDI-DrugBank.d269.s10|35-44|carvedilol|drug
DDI-DrugBank.d269.s10|46-55|carvedilol|drug
DDI-DrugBank.d269.s10|57-66|carvedilol|drug
DDI-DrugBank.d269.s10|68-77|carvedilol|drug
DDI-DrugBank.d269.s10|79-88|carvedilol|drug
DDI-DrugBank.d269.s10|90-99|carvedilol|drug
DDI-DrugBank.d269.s10|101-110|carvedilol|drug
DDI-DrugBank.d269.s10|112-121|carvedilol|drug
DDI-DrugBank.d269.s10|123-132|carvedilol|drug
DDI-DrugBank.d269.s10|134-143|carvedilol|drug
DDI-DrugBank.d269.s10|145-154|carvedilol|drug
DDI-DrugBank.d269.s10|156-165|carvedilol|drug
DDI-DrugBank.d269.s10|167-176|carvedilol|drug
DDI-DrugBank.d269.s10|178-187|carvedilol|drug
DDI-DrugBank.d269.s10|189-198|carvedilol|drug
DDI-DrugBank.d269.s10|200-209|carvedilol|drug
DDI-DrugBank.d269.s10|211-220|carvedilol|drug
DDI-DrugBank.d269.s10|222-231|carvedilol|drug
DDI-DrugBank.d269.s10|233-242|carvedilol|drug
DDI-DrugBank.d269.s10|244-253|carvedilol|drug
DDI-DrugBank.d269.s10|255-264|carvedilol|drug
DDI-DrugBank.d269.s10|266-275|carvedilol|drug
DDI-DrugBank.d269.s11|76-85|carvedilol|drug
DDI-DrugBank.d269.s12|0-6|digoxin|drug
DDI-DrugBank.d269.s12|8-13| COREG|drug
DDI-DrugBank.d269.s13|35-41|digoxin|drug
DDI-DrugBank.d269.s14|47-54|Rifampin|drug
DDI-DrugBank.d269.s14|89-98|carvedilol|drug
DDI-DrugBank.d269.s16|0-4|COREG|drug
DDI-DrugBank.d269.s16|7-30|Calcium Channel Blockers|group
DDI-DrugBank.d269.s17|124-132|verapamil|group
DDI-DrugBank.d269.s17|137-145|diltiazem|group
DDI-DrugBank.d269.s18|0-6|insulin|drug
DDI-DrugBank.d269.s18|11-28|oral hypoglycemics|drug
DDI-DrugBank.d269.s18|31-63|agents with b-blocking properties|group
DDI-DrugBank.d269.s18|112-118|insulin|drug
DDI-DrugBank.d269.s18|124-141|oral hypoglycemics|group
DDI-DrugBank.d269.s19|30-36|insulin|drug
DDI-DrugBank.d339.s0|0-12|Carbamazepine|drug
DDI-DrugBank.d339.s0|24-36|carbamazepine|drug
DDI-DrugBank.d339.s1|0-12|carbamazepine|drug
DDI-DrugBank.d339.s2|115-122|cefixime|drug
DDI-DrugBank.d339.s3|0-6|ketones|drug
DDI-DrugBank.d339.s3|48-60|nitroprusside|drug
DDI-DrugBank.d339.s3|87-103|nitroferricyanide|drug
DDI-DrugBank.d339.s4|22-27|Suprax|drug
DDI-DrugBank.d339.s6|109-121|cephalosporin|group
DDI-DrugBank.d339.s6|123-140|acetilsalicic acid|drug
DDI-DrugBank.d339.s6|142-153|glutethimide|drug
DDI-DrugBank.d339.s6|155-168|anticoagulants|group
DDI-DrugBank.d339.s6|170-186|antifungal agents|group
DDI-DrugBank.d339.s6|275-285|antibiotics|group
DDI-DrugBank.d339.s6|287-304|acetilsalicic acid|drug
DDI-DrugBank.d339.s6|306-317|glutethimide|drug
DDI-DrugBank.d339.s6|319-332|anticoagulants|group
DDI-DrugBank.d339.s6|334-350|antifungal agents|group
DDI-DrugBank.d339.s6|439-449|antibiotics|group
DDI-DrugBank.d339.s6|451-468|acetilsalicic acid|drug
DDI-DrugBank.d339.s6|470-481|glutethimide|drug
DDI-DrugBank.d339.s6|483-496|anticoagulants|group
DDI-DrugBank.d339.s6|498-514|antifungal agents|group
DDI-DrugBank.d339.s7|0-3|drug|drug
DDI-DrugBank.d339.s7|5-10|groups|group
DDI-DrugBank.d339.s7|92-95|drug|drug
DDI-DrugBank.d339.s7|97-102|groups|group
DDI-DrugBank.d339.s7|104-108|toxin|drug_n
DDI-DrugBank.d339.s7|190-193|drug|drug
DDI-DrugBank.d339.s7|195-200|groups|group
DDI-DrugBank.d339.s7|202-206|toxin|drug_n
DDI-DrugBank.d339.s7|288-292|toxin|drug_n
DDI-DrugBank.d339.s7|423-427|toxin|drug_n
DDI-DrugBank.d339.s7|509-513|toxin|drug_n
DDI-DrugBank.d339.s7|595-599|toxin|drug_n
DDI-DrugBank.d172.s0|0-8|celecoxib|drug
DDI-DrugBank.d172.s1|0-8|Celecoxib|drug
DDI-DrugBank.d172.s2|0-8|celecoxib|drug
DDI-DrugBank.d172.s2|31-39|celecoxib|drug
DDI-DrugBank.d172.s3|31-41|cloxacillin|drug
DDI-DrugBank.d172.s4|36-44|Celecoxib|drug
DDI-DrugBank.d172.s6|0-8|Celecoxib|drug
DDI-DrugBank.d172.s6|10-20|Fluconazole|drug_n
DDI-DrugBank.d172.s6|22-28|Lithium|drug_n
DDI-DrugBank.d172.s7|0-5|NSAIDs|drug
DDI-DrugBank.d172.s7|7-20|ACE inhibitors|drug_n
DDI-DrugBank.d172.s7|46-31||drug
DDI-DrugBank.d172.s7|53-66|ACE inhibitors|drug_n
DDI-DrugBank.d172.s7|124-137|ACE inhibitors|drug_n
DDI-DrugBank.d172.s7|163-38||drug
DDI-DrugBank.d172.s7|170-183|ACE inhibitors|drug_n
DDI-DrugBank.d172.s8|12-20|celecoxib|drug
DDI-DrugBank.d172.s8|73-81|glyburide|drug
DDI-DrugBank.d172.s8|84-95|ketoconazole|drug
DDI-DrugBank.d172.s8|98-109|methotrexate|drug
DDI-DrugBank.d172.s8|112-120|phenytoin|drug
DDI-DrugBank.d172.s8|123-133|tolbutamide|drug
DDI-DrugBank.d172.s8|140-147|warfarin|drug
DDI-DrugBank.d172.s9|0-13|ACE inhibitors|drug
DDI-DrugBank.d172.s9|88-116|Angiotensin Converting Enzyme|drug
DDI-DrugBank.d172.s9|119-121|ACE|group
DDI-DrugBank.d172.s10|0-7|CELEBREX|drug
DDI-DrugBank.d172.s10|9-22|ACE-inhibitors|drug
DDI-DrugBank.d172.s10|24-31|CELEBREX|drug
DDI-DrugBank.d172.s10|33-46|ACE-inhibitors|drug
DDI-DrugBank.d172.s10|48-61|ACE-inhibitors|drug_n
DDI-DrugBank.d172.s10|63-70|CELEBREX|drug
DDI-DrugBank.d172.s10|72-85|ACE-inhibitors|drug_n
DDI-DrugBank.d172.s10|179-186|CELEBREX|drug
DDI-DrugBank.d172.s10|188-201|ACE-inhibitors|drug_n
DDI-DrugBank.d172.s10|295-302|CELEBREX|drug
DDI-DrugBank.d172.s10|304-317|ACE-inhibitors|drug_n
DDI-DrugBank.d172.s10|411-418|CELEBREX|drug
DDI-DrugBank.d172.s10|420-433|ACE-inhibitors|drug_n
DDI-DrugBank.d172.s11|86-99|anticoagulants|group
DDI-DrugBank.d172.s11|138-147|furosemide|drug
DDI-DrugBank.d172.s11|153-161|thiazides|group
DDI-DrugBank.d172.s12|0-22|prostaglandin synthesis|drug
DDI-DrugBank.d172.s12|60-64|renal|drug
DDI-DrugBank.d172.s12|66-78|prostaglandin|drug_n
DDI-DrugBank.d172.s12|80-88|synthesis|drug
DDI-DrugBank.d172.s12|90-99|inhibition|drug_n
DDI-DrugBank.d172.s12|101-102|of|drug
DDI-DrugBank.d172.s12|104-108|renal|drug_n
DDI-DrugBank.d172.s12|149-157|synthesis|drug_n
DDI-DrugBank.d172.s12|159-168|inhibition|drug
DDI-DrugBank.d172.s12|170-171|of|drug_n
DDI-DrugBank.d172.s12|173-177|renal|drug
DDI-DrugBank.d172.s12|218-226|synthesis|drug_n
DDI-DrugBank.d172.s12|228-237|inhibition|drug
DDI-DrugBank.d172.s12|239-240|of|drug_n
DDI-DrugBank.d172.s12|242-246|renal|drug
DDI-DrugBank.d172.s12|287-295|synthesis|drug_n
DDI-DrugBank.d172.s12|297-306|inhibition|drug
DDI-DrugBank.d172.s12|308-309|of|drug_n
DDI-DrugBank.d172.s12|311-315|renal|drug
DDI-DrugBank.d172.s12|356-364|synthesis|drug_n
DDI-DrugBank.d172.s12|366-375|inhibition|drug
DDI-DrugBank.d172.s13|9-16|CELEBREX|drug
DDI-DrugBank.d172.s13|44-50|aspirin|drug
DDI-DrugBank.d172.s14|39-45|aspirin|drug
DDI-DrugBank.d172.s15|41-48|Celebrex|drug
DDI-DrugBank.d172.s15|74-80|aspirin|brand
DDI-DrugBank.d172.s16|0-10|fluconazole|drug
DDI-DrugBank.d172.s16|13-29|antifungal agents|group
DDI-DrugBank.d172.s16|62-72|fluconazole|drug
DDI-DrugBank.d172.s16|75-91|antifungal agents|group
DDI-DrugBank.d172.s17|42-58|clostridium toxin|drug
DDI-DrugBank.d172.s20|12-18|Lithium|drug
DDI-DrugBank.d172.s24|51-58|Celebrex|drug
DDI-DrugBank.d141.s0|0-22|Immunosuppressive Drugs|drug
DDI-DrugBank.d141.s0|25-48| Fibric Acid Derivatives|drug
DDI-DrugBank.d141.s0|51-73|Niacin (Nicotinic Acid)|drug
DDI-DrugBank.d141.s0|76-87|Erythromycin|drug
DDI-DrugBank.d141.s0|90-106|Azole Antifungals|group
DDI-DrugBank.d141.s0|109-123|Skeletal Muscle|drug
DDI-DrugBank.d141.s1|0-6|Antacid|drug
DDI-DrugBank.d141.s3|0-13|cholestyramine|drug
DDI-DrugBank.d141.s3|65-78|cholestyramine|drug
DDI-DrugBank.d141.s4|50-68|cerivastatin sodium|drug
DDI-DrugBank.d141.s6|58-75|cervastatin sodium|drug
DDI-DrugBank.d141.s6|98-111|cholestyramine|drug
DDI-DrugBank.d141.s6|212-229|cervastatin sodium|drug
DDI-DrugBank.d141.s7|0-6|DIGOXIN|drug
DDI-DrugBank.d141.s7|16-22|DIGOXIN|drug
DDI-DrugBank.d141.s7|35-41|DIGOXIN|drug
DDI-DrugBank.d141.s9|0-7|warfarin|drug
DDI-DrugBank.d141.s11|0-7|warfarin|drug
DDI-DrugBank.d141.s11|13-24|cerivastatin|drug
DDI-DrugBank.d141.s12|0-11|Erythromycin|drug
DDI-DrugBank.d141.s13|106-124|cerivastatin sodium|drug
DDI-DrugBank.d141.s13|154-199|angiotensin-converting enzyme (ACE) inhibitors|group
DDI-DrugBank.d141.s13|202-213|betablockers|brand
DDI-DrugBank.d141.s13|216-239|calcium-channel blockers|group
DDI-DrugBank.d141.s13|242-250|diuretics|group
DDI-DrugBank.d287.s0|66-79|anticoagulants|group
DDI-DrugBank.d287.s1|0-9|cevimeline|drug
DDI-DrugBank.d287.s1|75-84|cevimeline|drug
DDI-DrugBank.d287.s3|0-9|cevimeline|drug
DDI-DrugBank.d287.s3|78-87|cevimeline|drug
DDI-DrugBank.d287.s5|6-13|in vitro|group
DDI-DrugBank.d255.s0|0-11|chlorambucil|drug
DDI-DrugBank.d110.s0|60-70|epinephrine|drug
DDI-DrugBank.d110.s0|75-88|norepinephrine|drug
DDI-DrugBank.d110.s5|0-13|chloroprocaine|drug
DDI-DrugBank.d110.s5|62-72|antibiotics|group
DDI-DrugBank.d110.s5|77-93|antifungal agents|group
DDI-DrugBank.d429.s0|34-39|kaolin|group
DDI-DrugBank.d429.s0|55-60|kaolin|group
DDI-DrugBank.d429.s1|67-77|chloroquine|drug
DDI-DrugBank.d429.s3|19-28|cimetidine|drug
DDI-DrugBank.d429.s6|0-10|Cyclosporin|drug
DDI-DrugBank.d429.s6|35-45|chloroquine|drug
DDI-DrugBank.d429.s6|87-97|Cyclosporin|drug
DDI-DrugBank.d429.s7|0-10|cyclosporin|drug
DDI-DrugBank.d429.s7|16-26|chloroquine|drug
DDI-DrugBank.d446.s0|0-15|chlorotrianisene|drug
DDI-DrugBank.d446.s0|52-58|aspirin|drug
DDI-DrugBank.d446.s0|61-72|barbiturates|group
DDI-DrugBank.d446.s0|75-87|bromocriptine|brand
DDI-DrugBank.d446.s0|143-154|cyclosporine|drug_n
DDI-DrugBank.d446.s0|179-188|somatropin|drug_n
DDI-DrugBank.d446.s0|231-238|warfarin|drug
DDI-DrugBank.d245.s0|27-39| sulfonylurea|group
DDI-DrugBank.d245.s0|172-183| salicylates|drug
DDI-DrugBank.d245.s0|186-198| sulfonamides|group
DDI-DrugBank.d245.s0|244-254| probenecid|brand
DDI-DrugBank.d245.s0|257-266| coumarins|group
DDI-DrugBank.d245.s0|269-297| monoamine oxidase inhibitors|drug_n
DDI-DrugBank.d245.s0|304-335| beta adrenergic blocking agents|group
DDI-DrugBank.d245.s3|0-75|Certain drugs tend to produce hyperglycemia and may lead to loss of control.|drug
DDI-DrugBank.d245.s4|0-8|thiazides|drug
DDI-DrugBank.d245.s4|10-12|and|drug
DDI-DrugBank.d245.s4|20-28|diuretics|group
DDI-DrugBank.d245.s4|31-45|corticosteroids|drug
DDI-DrugBank.d245.s4|48-61|phenothiazines|drug
DDI-DrugBank.d245.s4|64-79|thyroid products|drug
DDI-DrugBank.d245.s4|82-90|estrogens|drug
DDI-DrugBank.d245.s4|93-111|oral contraceptives|drug
DDI-DrugBank.d245.s4|114-122|phenytoin|drug
DDI-DrugBank.d245.s4|125-138|nicotinic acid|drug
DDI-DrugBank.d245.s4|141-156|sympathomimetics|drug
DDI-DrugBank.d245.s4|159-188|calcium channel blocking drugs|drug
DDI-DrugBank.d245.s4|195-203|isoniazid|drug_n
DDI-DrugBank.d245.s5|56-64|diabinese|drug
DDI-DrugBank.d245.s6|55-63|diabinese|drug
DDI-DrugBank.d245.s7|94-107|chlorpropamide|drug
DDI-DrugBank.d245.s9|32-63|<group>antifungal agents</group>|drug
DDI-DrugBank.d245.s9|32-48|antifungal agents|group
DDI-DrugBank.d171.s0|0-6|Tagamet|drug
DDI-DrugBank.d171.s0|160-173|anticoagulants|group
DDI-DrugBank.d171.s0|187-197|propranolol|brand
DDI-DrugBank.d171.s0|230-237|diazepam|brand
DDI-DrugBank.d171.s0|275-283|lidocaine|brand
DDI-DrugBank.d171.s1|59-79|<drug>warfarin</drug>|group
DDI-DrugBank.d171.s1|59-66|warfarin|drug
