DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-DrugBank.d153.s2|409-416|warfarin|drug
DDI-DrugBank.d153.s2|454-465|Cyclosporine|drug
DDI-DrugBank.d153.s2|502-512|clopidogrel|drug
DDI-DrugBank.d153.s2|554-564|clopidogrel|drug
DDI-DrugBank.d153.s2|591-602|cyclosporine|drug
DDI-DrugBank.d153.s2|633-643|clopidogrel|drug
DDI-DrugBank.d153.s2|672-683|cyclosporine|drug
DDI-DrugBank.d153.s2|710-717|Imatinib|drug
DDI-DrugBank.d153.s3|29-45|vasopressor drugs|group
DDI-DrugBank.d153.s3|54-78|ergot-type oxytocic drugs|group
DDI-DrugBank.d153.s4|0-13|Phenothiazines|group
DDI-DrugBank.d153.s4|19-32|butyrophenones|group
DDI-DrugBank.d153.s4|78-88|epinephrine|drug
DDI-DrugBank.d153.s4|124-137|butyrophenones|group
DDI-DrugBank.d153.s4|183-84||drug
DDI-DrugBank.d153.s4|271-98||drug
DDI-DrugBank.d153.s4|359-173||drug
DDI-DrugBank.d153.s4|447-261||drug
DDI-DrugBank.d153.s4|535-349||drug
DDI-DrugBank.d153.s4|623-437||drug
DDI-DrugBank.d153.s4|711-525||drug
DDI-DrugBank.d213.s0|0-5|Iodine|drug
DDI-DrugBank.d213.s0|10-15|iodine|drug
DDI-DrugBank.d213.s0|51-61|Carbimazole|drug
DDI-DrugBank.d213.s0|71-76|iodine|drug
DDI-DrugBank.d213.s0|116-126|Carbimazole|drug
DDI-DrugBank.d213.s0|129-134|Iodine|drug
DDI-DrugBank.d213.s0|168-181|Cyproheptadine|drug
DDI-DrugBank.d213.s0|187-192|iTlode|drug
DDI-DrugBank.d213.s0|203-208|iTlode|drug
DDI-DrugBank.d213.s0|266-271|iodine|drug
DDI-DrugBank.d213.s0|287-297|Carbimazole|drug
DDI-DrugBank.d213.s0|344-357|Cyproheptadine|drug
DDI-DrugBank.d213.s0|491-496|Iodine|drug
DDI-DrugBank.d213.s0|530-537|Levodopa|drug
DDI-DrugBank.d213.s0|540-549|methyldopa|drug
DDI-DrugBank.d213.s0|552-564|thiothiazides|drug
DDI-DrugBank.d213.s0|567-585|hydrochlorothiazide|drug
DDI-DrugBank.d213.s0|592-600|thiazides|drug
DDI-DrugBank.d213.s1|23-29|digoxin|drug
DDI-DrugBank.d213.s1|35-43|digitoxin|drug
DDI-DrugBank.d213.s1|77-94|antithyroid agents|group
DDI-DrugBank.d213.s1|123-131|digitoxin|drug_n
DDI-DrugBank.d213.s1|165-182|antithyroid agents|group
DDI-DrugBank.d213.s1|211-219|digitoxin|drug_n
DDI-DrugBank.d213.s1|253-270|antithyroid agents|group
DDI-DrugBank.d213.s1|299-307|digitoxin|drug_n
DDI-DrugBank.d213.s1|341-358|antithyroid agents|group
DDI-DrugBank.d213.s1|387-395|digitoxin|drug_n
DDI-DrugBank.d213.s1|429-446|antithyroid agents|group
DDI-DrugBank.d213.s1|475-483|digitoxin|drug_n
DDI-DrugBank.d213.s1|517-534|antithyroid agents|group
DDI-DrugBank.d213.s1|563-571|digitoxin|drug_n
DDI-DrugBank.d213.s2|74-82|Euthyroid|drug
DDI-DrugBank.d213.s2|115-122|Adequate|drug
DDI-DrugBank.d213.s2|221-231|Propranolol|drug
DDI-DrugBank.d213.s2|270-280|Propranolol|drug
DDI-DrugBank.d213.s2|313-320|Adequate|drug
DDI-DrugBank.d213.s2|419-429|Propranolol|drug
DDI-DrugBank.d213.s2|462-472|Propranolol|drug
DDI-DrugBank.d213.s2|505-513|Euthyroid|drug
DDI-DrugBank.d213.s2|546-556|Propranolol|drug
DDI-DrugBank.d213.s2|589-599|Propranolol|drug
DDI-DrugBank.d213.s2|632-642|Propranolol|drug
DDI-DrugBank.d213.s2|675-685|Propranolol|drug
DDI-DrugBank.d213.s2|718-728|Propranolol|drug
DDI-DrugBank.d213.s2|761-771|Propranolol|drug
DDI-DrugBank.d213.s3|0-17|Antithyroid agents|group
DDI-DrugBank.d213.s3|52-64|sodium iodide|drug
DDI-DrugBank.d213.s3|66-69|I131|drug
DDI-DrugBank.d213.s3|142-152|Carbimazole|drug
DDI-DrugBank.d213.s4|26-39|anticoagulants|group
DDI-DrugBank.d520.s0|65-75|Carboplatin|drug
DDI-DrugBank.d269.s1|21-31|debrisoquin|drug_n
DDI-DrugBank.d269.s1|50-59|carvedilol|drug
DDI-DrugBank.d269.s1|103-111|quinidine|drug
DDI-DrugBank.d269.s1|114-123|fluoxetine|drug
DDI-DrugBank.d269.s1|126-135|paroxetine|drug
DDI-DrugBank.d269.s1|142-152|propafenone|drug
DDI-DrugBank.d269.s1|263-272|carvedilol|drug
DDI-DrugBank.d269.s3|137-145|reserpine|drug
DDI-DrugBank.d269.s3|151-178|monoamine oxidase inhibitors|group
DDI-DrugBank.d269.s4|0-8|Clonidine|drug
DDI-DrugBank.d269.s4|41-49|clonidine|drug
DDI-DrugBank.d269.s5|70-78|clonidine|drug
DDI-DrugBank.d269.s6|0-8|Clonidine|drug
DDI-DrugBank.d269.s7|0-11|Cyclosporine|drug
DDI-DrugBank.d269.s7|46-57|cyclosporine|drug
DDI-DrugBank.d269.s7|112-121|carvedilol|drug
DDI-DrugBank.d269.s8|38-49|cyclosporine|drug
DDI-DrugBank.d269.s8|90-101|cyclosporine|drug
DDI-DrugBank.d269.s8|198-209|cyclosporine|drug
DDI-DrugBank.d269.s8|322-333|cyclosporine|drug
DDI-DrugBank.d269.s8|383-394|cyclosporine|drug
DDI-DrugBank.d269.s8|480-491|cyclosporine|drug
DDI-DrugBank.d269.s8|532-543|cyclosporine|drug
DDI-DrugBank.d269.s8|678-689|cyclosporine|drug
DDI-DrugBank.d269.s8|730-741|cyclosporine|drug
DDI-DrugBank.d269.s9|42-53|cyclosporine|drug
DDI-DrugBank.d269.s10|96-107|cyclosporine|drug
DDI-DrugBank.d269.s10|165-174|carvedilol|drug
DDI-DrugBank.d269.s10|205-216|cyclosporine|drug
DDI-DrugBank.d269.s11|0-6|Digoxin|drug
DDI-DrugBank.d269.s11|9-15|Digoxin|drug
DDI-DrugBank.d269.s11|64-70|digoxin|drug
DDI-DrugBank.d269.s11|76-85|carvedilol|drug
DDI-DrugBank.d269.s11|119-125|Digoxin|drug
DDI-DrugBank.d269.s11|174-180|digoxin|drug
DDI-DrugBank.d269.s11|186-195|carvedilol|drug
DDI-DrugBank.d269.s11|229-235|Digoxin|drug
DDI-DrugBank.d269.s11|284-290|digoxin|drug
DDI-DrugBank.d269.s11|296-305|carvedilol|drug
DDI-DrugBank.d269.s11|339-345|Digoxin|drug
DDI-DrugBank.d269.s11|394-400|digoxin|drug
DDI-DrugBank.d269.s11|406-415|carvedilol|drug
DDI-DrugBank.d269.s11|449-455|Digoxin|drug
DDI-DrugBank.d269.s11|504-510|digoxin|drug
DDI-DrugBank.d269.s11|516-525|carvedilol|drug
DDI-DrugBank.d269.s11|559-565|Digoxin|drug
DDI-DrugBank.d269.s12|5-11|digoxin|drug
DDI-DrugBank.d269.s12|17-21|COREG|brand
DDI-DrugBank.d269.s13|35-41|digoxin|drug
DDI-DrugBank.d269.s13|103-107|COREG|brand
DDI-DrugBank.d269.s13|118-103||drug
DDI-DrugBank.d269.s13|282-286|COREG|brand
DDI-DrugBank.d269.s13|304-111||drug
DDI-DrugBank.d269.s13|315-297||drug
DDI-DrugBank.d269.s13|342-306||drug
DDI-DrugBank.d269.s13|540-544|COREG|brand
DDI-DrugBank.d269.s13|555-320||drug
DDI-DrugBank.d269.s13|643-328||drug
DDI-DrugBank.d269.s13|653-526||drug
DDI-DrugBank.d269.s13|666-534||drug
DDI-DrugBank.d269.s13|677-623||drug
DDI-DrugBank.d269.s13|692-636||drug
DDI-DrugBank.d269.s13|708-647||drug
DDI-DrugBank.d269.s14|47-54|Rifampin|drug
DDI-DrugBank.d269.s14|89-98|carvedilol|drug
DDI-DrugBank.d269.s15|0-9|Cimetidine|drug
DDI-DrugBank.d269.s16|0-23|Calcium Channel Blockers|group
DDI-DrugBank.d269.s16|128-132|COREG|brand
DDI-DrugBank.d269.s16|158-166|diltiazem|drug
DDI-DrugBank.d269.s17|52-56|COREG|brand
DDI-DrugBank.d269.s17|92-115|calcium channel blockers|group
DDI-DrugBank.d269.s17|124-132|verapamil|drug
DDI-DrugBank.d269.s17|137-145|diltiazem|drug
DDI-DrugBank.d269.s18|0-6|Insulin|drug
DDI-DrugBank.d269.s18|16-28|Hypoglycemics|group
DDI-DrugBank.d269.s18|112-118|insulin|drug
DDI-DrugBank.d269.s18|129-141|hypoglycemics|group
DDI-DrugBank.d269.s18|144-144|b|drug
DDI-DrugBank.d269.s18|220-147||drug
DDI-DrugBank.d269.s18|277-286|b-blockers|group
DDI-DrugBank.d269.s18|289-301|Hypoglycemics|group
DDI-DrugBank.d269.s18|345-354|b-blockers|group
DDI-DrugBank.d269.s18|357-366|B-Blockers|group
DDI-DrugBank.d269.s18|411-423|sulfonylureas|group
DDI-DrugBank.d269.s18|426-213||drug
DDI-DrugBank.d269.s18|483-492|b-blockers|group
DDI-DrugBank.d269.s18|495-507|Hypoglycemics|group
DDI-DrugBank.d269.s18|551-560|b-blockers|group
DDI-DrugBank.d269.s18|563-572|B-Blockers|group
DDI-DrugBank.d269.s18|617-629|sulfonylureas|group
DDI-DrugBank.d269.s18|632-419||drug
DDI-DrugBank.d269.s19|30-36|insulin|drug
DDI-DrugBank.d269.s19|46-58|hypoglycemics|group
DDI-DrugBank.d269.s19|121-106||drug
DDI-DrugBank.d269.s19|153-165|hypoglycemics|group
DDI-DrugBank.d269.s19|176-181|agents|group
DDI-DrugBank.d269.s19|192-114||drug
DDI-DrugBank.d269.s19|224-229|agents|group
DDI-DrugBank.d269.s19|240-245|agents|group
DDI-DrugBank.d269.s19|256-261|agents|group
DDI-DrugBank.d269.s19|272-277|agents|group
DDI-DrugBank.d269.s19|288-293|agents|group
DDI-DrugBank.d269.s19|304-309|agents|group
DDI-DrugBank.d269.s19|320-325|agents|group
DDI-DrugBank.d269.s19|336-341|agents|group
DDI-DrugBank.d269.s19|352-357|agents|group
DDI-DrugBank.d269.s19|368-373|agents|group
DDI-DrugBank.d269.s19|384-389|agents|group
DDI-DrugBank.d269.s19|400-405|agents|group
DDI-DrugBank.d269.s19|416-421|agents|group
DDI-DrugBank.d269.s19|432-437|agents|group
DDI-DrugBank.d269.s19|448-453|agents|group
DDI-DrugBank.d269.s19|464-469|agents|group
DDI-DrugBank.d269.s19|480-485|agents|group
DDI-DrugBank.d269.s19|496-501|agents|group
DDI-DrugBank.d339.s0|0-12|Carbamazepine|drug
DDI-DrugBank.d339.s0|24-36|carbamazepine|drug
DDI-DrugBank.d339.s0|97-102|SUPRAX|brand
DDI-DrugBank.d339.s1|65-77|carbamazepine|drug
DDI-DrugBank.d339.s2|0-7|Warfarin|drug
DDI-DrugBank.d339.s2|13-26|Anticoagulants|group
DDI-DrugBank.d339.s2|115-122|cefixime|drug
DDI-DrugBank.d339.s3|112-124|nitroprusside|drug
DDI-DrugBank.d339.s3|151-167|nitroferricyanide|drug
DDI-DrugBank.d339.s3|169-169| |drug
DDI-DrugBank.d339.s4|22-27|SUPRAX|brand
DDI-DrugBank.d339.s5|129-135|Glucose|drug
DDI-DrugBank.d339.s5|235-241|Glucose|drug
DDI-DrugBank.d339.s5|341-347|Glucose|drug
DDI-DrugBank.d339.s5|447-453|Glucose|drug
DDI-DrugBank.d339.s5|553-559|Glucose|drug
DDI-DrugBank.d339.s5|659-665|Glucose|drug
DDI-DrugBank.d339.s5|765-771|Glucose|drug
DDI-DrugBank.d339.s6|82-94|cephalosporin|group
DDI-DrugBank.d172.s0|49-57|celecoxib|drug
DDI-DrugBank.d172.s1|0-8|Celecoxib|drug
DDI-DrugBank.d172.s2|21-29|celecoxib|drug
DDI-DrugBank.d172.s3|31-39|celecoxib|drug
DDI-DrugBank.d172.s4|36-44|celecoxib|drug
DDI-DrugBank.d172.s6|22-30|celecoxib|drug
DDI-DrugBank.d172.s6|90-100|fluconazole|drug
DDI-DrugBank.d172.s6|106-112|lithium|drug
DDI-DrugBank.d172.s7|16-51|nonsteroidal anti-inflammatory drugs|group
DDI-DrugBank.d172.s7|54-59|NSAIDs|group
DDI-DrugBank.d172.s7|107-116|furosemide|drug
DDI-DrugBank.d172.s7|122-135|ACE inhibitors|group
DDI-DrugBank.d172.s8|12-20|celecoxib|drug
DDI-DrugBank.d172.s8|73-81|glyburide|drug
DDI-DrugBank.d172.s8|84-95|ketoconazole|drug
DDI-DrugBank.d172.s8|98-109|methotrexate|drug
DDI-DrugBank.d172.s8|112-120|phenytoin|drug
DDI-DrugBank.d172.s8|123-133|tolbutamide|drug
DDI-DrugBank.d172.s8|140-147|warfarin|drug
DDI-DrugBank.d172.s9|0-13|ACE inhibitors|group
DDI-DrugBank.d172.s9|37-42|NSAIDs|group
DDI-DrugBank.d172.s9|88-133|Angiotensin Converting Enzyme (ACE) inhibitors|group
DDI-DrugBank.d172.s10|66-73|CELEBREX|brand
DDI-DrugBank.d172.s10|94-107|ACE-inhibitors|group
DDI-DrugBank.d172.s11|0-9|Furosemide|drug
DDI-DrugBank.d172.s11|86-91|NSAIDs|group
DDI-DrugBank.d172.s11|130-139|furosemide|drug
DDI-DrugBank.d172.s11|145-153|thiazides|group
DDI-DrugBank.d172.s13|0-6|Aspirin|brand
DDI-DrugBank.d172.s13|9-16|CELEBREX|brand
DDI-DrugBank.d172.s13|44-50|aspirin|drug
DDI-DrugBank.d172.s14|39-45|aspirin|brand
DDI-DrugBank.d172.s14|52-59|CELEBREX|brand
DDI-DrugBank.d172.s14|153-160|CELEBREX|brand
DDI-DrugBank.d172.s15|41-48|CELEBREX|brand
DDI-DrugBank.d172.s15|74-80|aspirin|brand
DDI-DrugBank.d172.s16|0-10|Fluconazole|drug
DDI-DrugBank.d172.s16|43-53|fluconazole|drug
DDI-DrugBank.d172.s16|103-111|celecoxib|drug
DDI-DrugBank.d172.s17|42-50|celecoxib|drug
DDI-DrugBank.d172.s17|79-89|fluconazole|drug
DDI-DrugBank.d172.s18|0-7|CELEBREX|brand
DDI-DrugBank.d172.s18|83-93|fluconazole|drug
DDI-DrugBank.d172.s19|0-6|Lithium|drug
DDI-DrugBank.d172.s19|69-75|lithium|drug
DDI-DrugBank.d172.s19|141-147|lithium|drug
DDI-DrugBank.d172.s19|165-172|CELEBREX|brand
DDI-DrugBank.d172.s19|219-225|lithium|drug
DDI-DrugBank.d172.s20|12-18|lithium|drug
DDI-DrugBank.d172.s20|63-70|CELEBREX|brand
DDI-DrugBank.d172.s21|0-11|Methotrexate|drug
DDI-DrugBank.d172.s21|78-89|methotrexate|drug
DDI-DrugBank.d172.s21|92-99|CELEBREX|brand
DDI-DrugBank.d172.s21|162-173|methotrexate|drug
DDI-DrugBank.d172.s22|0-7|Warfarin|drug
DDI-DrugBank.d172.s22|24-32|celecoxib|drug
DDI-DrugBank.d172.s22|66-73|warfarin|drug
DDI-DrugBank.d172.s22|153-160|warfarin|drug
DDI-DrugBank.d172.s23|19-27|celecoxib|drug
DDI-DrugBank.d172.s23|71-78|warfarin|drug
DDI-DrugBank.d172.s24|51-58|CELEBREX|brand
DDI-DrugBank.d172.s24|65-72|warfarin|drug
DDI-DrugBank.d141.s0|50-55|Niacin|drug
DDI-DrugBank.d141.s0|58-69|Erythromycin|drug
DDI-DrugBank.d141.s0|72-88|Azole Antifungals|group
DDI-DrugBank.d141.s1|9-17|Magnesium|drug
DDI-DrugBank.d141.s1|19-26|Aluminum|drug
DDI-DrugBank.d141.s1|47-30||drug
DDI-DrugBank.d141.s1|124-130|antacid|group
DDI-DrugBank.d141.s1|232-238|antacid|group
DDI-DrugBank.d141.s1|340-346|antacid|group
DDI-DrugBank.d141.s1|448-454|antacid|group
DDI-DrugBank.d141.s1|556-562|antacid|group
DDI-DrugBank.d141.s1|664-670|antacid|group
DDI-DrugBank.d141.s1|772-778|antacid|group
DDI-DrugBank.d141.s2|0-9|CIMETlDINE|drug
DDI-DrugBank.d141.s2|12-23|Cerivastatin|drug
DDI-DrugBank.d141.s2|89-98|cimetidine|drug
DDI-DrugBank.d141.s2|192-94||drug
DDI-DrugBank.d141.s2|295-106||drug
DDI-DrugBank.d141.s2|398-181||drug
DDI-DrugBank.d141.s2|501-183||drug
DDI-DrugBank.d141.s2|604-195||drug
DDI-DrugBank.d141.s2|707-270||drug
DDI-DrugBank.d141.s2|810-272||drug
DDI-DrugBank.d141.s3|0-13|CHOLESTYRAMINE|drug
DDI-DrugBank.d141.s3|65-78|cholestyramine|drug
DDI-DrugBank.d141.s3|107-125|cerivastatin sodium|drug
DDI-DrugBank.d141.s4|57-68|cerivastatin|drug
DDI-DrugBank.d141.s4|86-99|cholestyramine|drug
DDI-DrugBank.d141.s4|189-207|cerivastatin sodium|drug
DDI-DrugBank.d141.s5|53-66|cholestyramine|drug
DDI-DrugBank.d141.s5|110-128|cerivastatin sodium|drug
DDI-DrugBank.d141.s5|210-221|cerivastatin|drug
DDI-DrugBank.d141.s5|304-322|cerivastatin sodium|drug
DDI-DrugBank.d141.s6|58-76|cerivastatin sodium|drug
DDI-DrugBank.d141.s6|99-112|cholestyramine|drug
DDI-DrugBank.d141.s6|213-231|cerivastatin sodium|drug
DDI-DrugBank.d141.s7|0-6|DIGOXIN|drug
DDI-DrugBank.d141.s7|16-22|digoxin|drug
DDI-DrugBank.d141.s7|35-41|digoxin|drug
DDI-DrugBank.d141.s7|118-136|cerivastatin sodium|drug
DDI-DrugBank.d141.s8|0-11|Cerivastatin|drug
DDI-DrugBank.d141.s8|82-88|digoxin|drug
DDI-DrugBank.d141.s9|0-7|WARFARIN|drug
DDI-DrugBank.d141.s9|32-39|warfarin|drug
DDI-DrugBank.d141.s9|45-56|cerivastatin|drug
DDI-DrugBank.d141.s9|191-198|warfarin|drug
DDI-DrugBank.d141.s9|213-220|WARFARIN|drug
DDI-DrugBank.d141.s9|245-252|warfarin|drug
DDI-DrugBank.d141.s9|258-269|cerivastatin|drug
DDI-DrugBank.d141.s9|404-411|warfarin|drug
DDI-DrugBank.d141.s9|426-433|WARFARIN|drug
DDI-DrugBank.d141.s9|458-465|warfarin|drug
DDI-DrugBank.d141.s9|471-482|cerivastatin|drug
DDI-DrugBank.d141.s9|617-624|warfarin|drug
DDI-DrugBank.d141.s9|639-646|WARFARIN|drug
DDI-DrugBank.d141.s9|671-678|warfarin|drug
DDI-DrugBank.d141.s9|684-695|cerivastatin|drug
DDI-DrugBank.d141.s10|52-59|warfarin|drug
DDI-DrugBank.d141.s10|108-126|cerivastatin sodium|drug
DDI-DrugBank.d141.s11|21-28|warfarin|drug
DDI-DrugBank.d141.s11|34-45|cerivastatin|drug
DDI-DrugBank.d141.s11|85-95|cervastatin|drug
DDI-DrugBank.d141.s12|0-11|ERYTHROMYCIN|drug
DDI-DrugBank.d141.s12|61-72|cerivastatin|drug
DDI-DrugBank.d141.s12|176-187|erythromycin|drug
DDI-DrugBank.d141.s13|106-124|cerivastatin sodium|drug
DDI-DrugBank.d141.s13|154-200|angiotensin- converting enzyme (ACE) inhibitors|group
DDI-DrugBank.d141.s13|203-214|betablockers|group
DDI-DrugBank.d141.s13|217-240|calcium-channel blockers|group
DDI-DrugBank.d141.s13|243-251|diuretics|group
DDI-DrugBank.d141.s13|258-302|nonsteroidal anti-inflammatory drugs (NSAIDs)|group
DDI-DrugBank.d287.s0|0-9|Cevimeline|drug
DDI-DrugBank.d287.s0|66-92|beta adrenergic antagonists|group
DDI-DrugBank.d287.s1|70-79|cevimeline|drug
DDI-DrugBank.d287.s2|0-9|Cevimeline|drug
DDI-DrugBank.d287.s3|71-80|cevimeline|drug
DDI-DrugBank.d287.s4|0-9|Cevimeline|drug
DDI-DrugBank.d287.s5|120-129|cevimeline|drug
DDI-DrugBank.d255.s0|47-58|chlorambucil|drug
DDI-DrugBank.d110.s0|28-37|anesthetic|group
DDI-DrugBank.d110.s0|60-70|epinephrine|drug
DDI-DrugBank.d110.s0|75-88|norepinephrine|drug
DDI-DrugBank.d110.s0|112-139|monoamine oxidase inhibitors|group
DDI-DrugBank.d110.s0|142-166|tricyclic antidepressants|group
DDI-DrugBank.d110.s0|171-184|phenothiazines|group
DDI-DrugBank.d110.s3|29-45|vasopressor drugs|group
DDI-DrugBank.d110.s3|114-138|ergot-type oxytocic drugs|group
DDI-DrugBank.d110.s4|41-54|chloroprocaine|drug
DDI-DrugBank.d110.s4|79-90|sulfonamides|group
DDI-DrugBank.d110.s5|11-24|chloroprocaine|drug
DDI-DrugBank.d110.s5|73-88|sulfonamide drug|group
DDI-DrugBank.d110.s5|109-122|Chloroprocaine|drug
DDI-DrugBank.d110.s5|153-166|amphotericin B|group
DDI-DrugBank.d110.s5|191-204|Chloroprocaine|drug
DDI-DrugBank.d110.s5|255-267|carbamazepine|group
DDI-DrugBank.d110.s5|272-280|phenytoin|drug
DDI-DrugBank.d110.s5|282-295|Chloroprocaine|drug
DDI-DrugBank.d110.s5|344-358|glucose oxidase|drug
DDI-DrugBank.d110.s5|378-391|Chloroprocaine|drug
DDI-DrugBank.d110.s5|431-447|local anesthetics|drug
DDI-DrugBank.d110.s5|499-530|alpha-adrenergic blocking agents|drug
DDI-DrugBank.d110.s5|532-545|Chloroprocaine|drug
DDI-DrugBank.d110.s5|591-606|sulfonamide drug|group
DDI-DrugBank.d110.s5|627-640|Chloroprocaine|drug
DDI-DrugBank.d429.s0|0-7|Antacids|group
DDI-DrugBank.d429.s0|13-18|kaolin|drug
DDI-DrugBank.d429.s0|21-28|Antacids|group
DDI-DrugBank.d429.s0|34-39|kaolin|drug
DDI-DrugBank.d429.s0|66-76|chloroquine|drug
DDI-DrugBank.d429.s1|67-77|chloroquine|drug
DDI-DrugBank.d429.s2|0-9|Cimetidine|drug
DDI-DrugBank.d429.s2|12-21|Cimetidine|drug
DDI-DrugBank.d429.s2|53-63|chloroquine|drug
DDI-DrugBank.d429.s3|19-28|cimetidine|drug
DDI-DrugBank.d429.s4|0-9|Ampicillin|drug
DDI-DrugBank.d429.s4|46-56|chloroquine|drug
DDI-DrugBank.d429.s4|103-112|ampicillin|drug
DDI-DrugBank.d429.s5|67-77|chloroquine|drug
DDI-DrugBank.d429.s6|0-10|Cyclosporin|drug
DDI-DrugBank.d429.s6|35-45|chloroquine|drug
DDI-DrugBank.d429.s6|87-97|cyclosporin|drug
DDI-DrugBank.d429.s7|37-47|cyclosporin|drug
DDI-DrugBank.d429.s7|89-99|chloroquine|drug
DDI-DrugBank.d446.s0|0-15|Chlorotrianisene|drug
DDI-DrugBank.d446.s0|35-49|antidepressants|group
DDI-DrugBank.d446.s0|52-58|aspirin|brand
DDI-DrugBank.d446.s0|61-72|barbiturates|group
DDI-DrugBank.d446.s0|75-87|bromocriptine|drug
DDI-DrugBank.d446.s0|90-104|corticosteroids|group
DDI-DrugBank.d446.s0|107-119|corticotropin|drug
DDI-DrugBank.d446.s0|122-133|cyclosporine|drug
DDI-DrugBank.d446.s0|136-145|dantrolene|drug
DDI-DrugBank.d446.s0|148-155|nicotine|drug
DDI-DrugBank.d446.s0|158-167|somatropin|drug
DDI-DrugBank.d446.s0|170-178|tamoxifen|drug
DDI-DrugBank.d446.s0|185-192|warfarin|drug
DDI-DrugBank.d245.s0|27-38|sulfonylurea|group
DDI-DrugBank.d245.s0|86-122|nonsteroidal anti-inflammatory agents|group
DDI-DrugBank.d245.s0|171-181|salicylates|group
DDI-DrugBank.d245.s0|184-195|sulfonamides|group
DDI-DrugBank.d245.s0|198-212|chloramphenicol|drug
DDI-DrugBank.d245.s0|215-224|probenecid|drug
DDI-DrugBank.d245.s0|227-235|coumarins|group
DDI-DrugBank.d245.s0|238-265|monoamine oxidase inhibitors|group
DDI-DrugBank.d245.s0|272-302|beta adrenergic blocking agents|group
DDI-DrugBank.d245.s1|56-64|DIABINESE|brand
DDI-DrugBank.d245.s2|55-63|DIABINESE|brand
DDI-DrugBank.d245.s3|458-470|Sulfonylureas|group
DDI-DrugBank.d245.s3|473-479|insulin|drug
DDI-DrugBank.d245.s3|486-503|thiazolidinediones|group
DDI-DrugBank.d245.s3|579-591|sulfonylureas|group
DDI-DrugBank.d245.s3|594-600|insulin|drug
DDI-DrugBank.d245.s3|607-624|thiazolidinediones|group
DDI-DrugBank.d245.s3|700-712|sulfonylureas|group
DDI-DrugBank.d245.s3|715-721|insulin|drug
DDI-DrugBank.d245.s3|728-745|thiazolidinediones|group
DDI-DrugBank.d245.s3|821-833|sulfonylureas|group
DDI-DrugBank.d245.s3|836-842|insulin|drug
DDI-DrugBank.d245.s4|24-32|thiazides|group
DDI-DrugBank.d245.s4|44-52|diuretics|group
DDI-DrugBank.d245.s4|55-69|corticosteroids|group
DDI-DrugBank.d245.s4|72-85|phenothiazines|group
DDI-DrugBank.d245.s4|88-103|thyroid products|group
DDI-DrugBank.d245.s4|106-114|estrogens|group
DDI-DrugBank.d245.s4|122-135|contraceptives|group
DDI-DrugBank.d245.s4|138-146|phenytoin|drug
DDI-DrugBank.d245.s4|149-162|nicotinic acid|drug
DDI-DrugBank.d245.s4|165-180|sympathomimetics|group
DDI-DrugBank.d245.s4|183-212|calcium channel blocking drugs|group
DDI-DrugBank.d245.s4|219-227|isoniazid|drug
DDI-DrugBank.d245.s5|56-64|DIABINESE|brand
DDI-DrugBank.d245.s6|55-63|DIABINESE|brand
DDI-DrugBank.d245.s7|48-59|barbiturates|group
DDI-DrugBank.d245.s7|94-107|chlorpropamide|drug
DDI-DrugBank.d245.s7|110-121|barbiturates|group
DDI-DrugBank.d245.s8|81-87|alcohol|drug
DDI-DrugBank.d245.s9|37-46|miconazole|drug
DDI-DrugBank.d245.s9|57-75|hypoglycemic agents|group
DDI-DrugBank.d245.s10|95-104|miconazole|drug
DDI-DrugBank.d171.s0|0-6|Tagamet|brand
DDI-DrugBank.d171.s0|130-157|warfarin-type anticoagulants|group
DDI-DrugBank.d171.s0|160-168|phenytoin|drug
DDI-DrugBank.d171.s0|171-181|propranolol|drug
DDI-DrugBank.d171.s0|184-193|nifedipine|drug
DDI-DrugBank.d171.s0|196-211|chlordiazepoxide|drug
DDI-DrugBank.d171.s0|214-221|diazepam|drug
DDI-DrugBank.d171.s0|232-256|tricyclic antidepressants|group
DDI-DrugBank.d171.s0|259-267|lidocaine|drug
DDI-DrugBank.d171.s0|270-281|theophylline|drug
DDI-DrugBank.d171.s0|287-299|metronidazole|drug
DDI-DrugBank.d171.s0|375-381|Tagamet|drug
DDI-DrugBank.d171.s0|442-450|clozapine|drug
DDI-DrugBank.d171.s0|453-463|propranolol|drug
DDI-DrugBank.d171.s0|466-473|warfarin|drug
DDI-DrugBank.d171.s0|479-488|fluoxetine|drug
DDI-DrugBank.d171.s0|664-670|Tagamet|drug
DDI-DrugBank.d171.s0|675-683|clozapine|drug
DDI-DrugBank.d171.s1|59-66|warfarin|group
DDI-DrugBank.d171.s2|86-98|anticoagulant|group
DDI-DrugBank.d171.s2|127-133|Tagamet|brand
DDI-DrugBank.d171.s3|17-25|phenytoin|drug
DDI-DrugBank.d171.s3|28-36|lidocaine|drug
DDI-DrugBank.d171.s3|42-53|theophylline|drug
DDI-DrugBank.d171.s4|64-70|Tagamet|brand
DDI-DrugBank.d171.s4|146-157|theophylline|drug
DDI-DrugBank.d171.s4|160-167|Theo-Dur|brand
DDI-DrugBank.d171.s4|243-254|theophylline|drug
DDI-DrugBank.d171.s6|30-41|theophylline|drug
DDI-DrugBank.d171.s7|248-254|Tagamet|brand
DDI-DrugBank.d171.s8|63-74|ketoconazole|drug
DDI-DrugBank.d171.s9|75-84|cimetidine|drug
DDI-DrugBank.d171.s10|100-106|Tagamet|brand
