DDI-MedLine.d48.s0|6-22|Clostridium toxin|drug_n
DDI-MedLine.d164.s1|354-367|anticoagulants|group
DDI-MedLine.d164.s1|369-382|anticoagulants|group
DDI-MedLine.d164.s1|384-397|anticoagulants|group
DDI-MedLine.d164.s1|399-412|anticoagulants|group
DDI-MedLine.d164.s1|414-427|anticoagulants|group
DDI-MedLine.d164.s1|429-442|anticoagulants|group
DDI-MedLine.d164.s1|444-457|anticoagulants|group
DDI-MedLine.d164.s1|459-472|anticoagulants|group
DDI-MedLine.d164.s1|474-487|anticoagulants|group
DDI-MedLine.d164.s2|42-50|Herceptin|brand
DDI-MedLine.d164.s2|111-119|Herceptin|brand
DDI-MedLine.d164.s3|6-14|Lapatinib|drug
DDI-MedLine.d164.s3|24-27|HER2|drug
DDI-MedLine.d164.s3|63-66|HER2|drug
DDI-MedLine.d164.s3|133-141|Herceptin|brand
DDI-MedLine.d164.s3|152-155|ADCC|drug
DDI-MedLine.d164.s5|6-14|Lapatinib|drug
DDI-MedLine.d164.s5|50-58|Herceptin|drug
DDI-MedLine.d164.s5|74-82|Herceptin|drug
DDI-MedLine.d164.s5|104-130|HER2-positive breast cancer|group
DDI-MedLine.d164.s5|183-186|HER2|group
DDI-MedLine.d193.s0|11-20|Ticagrelor|drug
DDI-MedLine.d193.s0|27-34|Brilinta|brand
DDI-MedLine.d193.s0|41-51|clopidogrel|drug
DDI-MedLine.d193.s0|58-63|Plavix|brand
DDI-MedLine.d193.s1|79-92|anticoagulants|group
DDI-MedLine.d193.s1|122-128|aspirin|brand
DDI-MedLine.d193.s2|6-16|clopidogrel|drug
DDI-MedLine.d193.s2|19-32|anticoagulants|group
DDI-MedLine.d193.s2|39-47|prasugrel|drug
DDI-MedLine.d193.s2|50-63|anticoagulants|group
DDI-MedLine.d193.s2|84-94|clopidogrel|drug
DDI-MedLine.d193.s2|97-110|anticoagulants|group
DDI-MedLine.d193.s2|117-125|prasugrel|drug
DDI-MedLine.d193.s2|128-141|anticoagulants|group
DDI-MedLine.d193.s3|10-20|Clopidogrel|drug
DDI-MedLine.d43.s1|0-14|chemical agents|drug
DDI-MedLine.d43.s5|9-18|carcinogen|drug
DDI-MedLine.d43.s5|22-31|carcinogen|drug
DDI-MedLine.d43.s5|35-44|carcinogen|drug
DDI-MedLine.d43.s5|48-61|anticoagulants|group
DDI-MedLine.d43.s5|65-81|antifungal agents|group
DDI-MedLine.d43.s5|85-98|anticoagulants|group
DDI-MedLine.d43.s5|102-118|antifungal agents|group
DDI-MedLine.d43.s6|108-125|diethylnitrosamine|drug_n
DDI-MedLine.d43.s7|12-24|phenobarbital|drug
DDI-MedLine.d43.s8|10-17|C57BL/6N|group
DDI-MedLine.d43.s8|22-28|C3H/HeN|group
DDI-MedLine.d43.s8|33-34|F1|group
DDI-MedLine.d43.s8|39-48|carcinogen|group
DDI-MedLine.d43.s10|10-16|aspirin|drug
DDI-MedLine.d43.s11|0-6|aspirin|drug
DDI-MedLine.d100.s4|9-40|Adenosine 3':5'-cyclic phosphate|drug
DDI-MedLine.d100.s5|6-34|Slow-channel calcium blockers|group
DDI-MedLine.d100.s5|45-53|verapamil|drug
DDI-MedLine.d100.s5|56-64|diltiazem|drug
DDI-MedLine.d100.s5|71-80|nifedipine|drug
DDI-MedLine.d100.s7|7-22|calcium blockers|drug
DDI-MedLine.d100.s7|25-36|prostacyclin|drug
DDI-MedLine.d100.s8|23-38|calcium blockers|drug
DDI-MedLine.d73.s0|105-148|1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine|drug
DDI-MedLine.d73.s0|156-170|methamphetamine|brand
DDI-MedLine.d73.s1|9-23|Methamphetamine|drug
DDI-MedLine.d73.s1|27-30|MPTP|drug
DDI-MedLine.d73.s2|149-157|pargyline|brand
DDI-MedLine.d73.s3|89-99|amphetamine|drug
DDI-MedLine.d73.s3|153-163|apomorphine|drug
DDI-MedLine.d73.s4|6-20|Methamphetamine|drug
DDI-MedLine.d73.s4|28-31|MPTP|drug
DDI-MedLine.d73.s4|113-121|pargyline|brand
DDI-MedLine.d73.s5|116-124|pargyline|drug
DDI-MedLine.d31.s0|0-6|Aspirin|drug
DDI-MedLine.d31.s2|9-15|aspirin|drug
DDI-MedLine.d31.s3|0-6|aspirin|drug
DDI-MedLine.d31.s5|90-93|drug|drug
DDI-DrugBank.d449.s0|6-22|antifungal agents|group
DDI-DrugBank.d449.s0|24-37|anticoagulants|group
DDI-DrugBank.d449.s0|39-55|antifungal agents|group
DDI-DrugBank.d449.s0|57-73|antifungal agents|group
DDI-DrugBank.d449.s0|75-91|antifungal agents|group
DDI-DrugBank.d449.s0|93-109|antifungal agents|group
DDI-DrugBank.d449.s0|111-127|antifungal agents|group
DDI-DrugBank.d449.s0|129-145|antifungal agents|group
DDI-DrugBank.d449.s0|147-163|antifungal agents|group
DDI-DrugBank.d449.s0|165-181|antifungal agents|group
DDI-DrugBank.d449.s0|183-199|antifungal agents|group
DDI-DrugBank.d449.s0|201-217|antifungal agents|group
DDI-DrugBank.d449.s0|219-235|antifungal agents|group
DDI-DrugBank.d449.s0|237-253|antifungal agents|group
DDI-DrugBank.d449.s0|255-271|antifungal agents|group
DDI-DrugBank.d449.s0|273-289|antifungal agents|group
DDI-DrugBank.d449.s0|291-307|antifungal agents|group
DDI-DrugBank.d449.s0|309-325|antifungal agents|group
DDI-DrugBank.d449.s0|327-343|antifungal agents|group
DDI-DrugBank.d449.s0|345-361|antifungal agents|group
DDI-DrugBank.d449.s0|363-379|antifungal agents|group
DDI-DrugBank.d449.s0|381-397|antifungal agents|group
DDI-DrugBank.d449.s0|399-415|antifungal agents|group
DDI-DrugBank.d449.s0|417-433|antifungal agents|group
DDI-DrugBank.d449.s0|435-451|antifungal agents|group
DDI-DrugBank.d449.s1|6-15|nafazodone|drug
DDI-DrugBank.d449.s1|18-28|fluvoxamine|drug
DDI-DrugBank.d449.s1|31-40|cimetidine|brand
DDI-DrugBank.d449.s2|9-18|Fluoxetine|drug
DDI-DrugBank.d449.s2|22-24|OCs|group
DDI-DrugBank.d449.s2|28-37|sertraline|drug
DDI-DrugBank.d449.s2|41-49|diltiazem|drug
DDI-DrugBank.d449.s2|53-73|macrolide antibiotics|group
DDI-DrugBank.d8.s0|112-118|ALFENTA|brand
DDI-DrugBank.d8.s0|186-197|barbiturates|group
DDI-DrugBank.d8.s0|200-212|tranquilizers|group
DDI-DrugBank.d8.s0|215-221|opioids|group
DDI-DrugBank.d8.s1|11-16|agents|group
DDI-DrugBank.d8.s2|68-81|anticoagulants|group
DDI-DrugBank.d8.s3|6-19|anticoagulants|group
DDI-DrugBank.d8.s3|21-27|ALFENTA|brand
DDI-DrugBank.d8.s3|29-40|erythromycin|brand
DDI-DrugBank.d8.s4|9-18|Cimetidine|drug
DDI-DrugBank.d8.s4|22-37|anticholinergics|group
DDI-DrugBank.d8.s4|41-47|ALFENTA|drug
DDI-DrugBank.d8.s4|51-57|opioids|group
DDI-DrugBank.d8.s5|6-12|ALFENTA|brand
DDI-DrugBank.d8.s6|39-45| drugs |drug
DDI-DrugBank.d416.s0|6-19|anticoagulants|group
DDI-DrugBank.d416.s0|21-37|antifungal agents|group
DDI-DrugBank.d416.s0|39-53|thiazolesulfone|group
DDI-DrugBank.d416.s1|0-4|acids|drug
DDI-DrugBank.d416.s2|75-77|PAH|drug
DDI-DrugBank.d416.s3|40-49|probenecid|drug
DDI-DrugBank.d416.s3|89-91|PAH|drug
DDI-DrugBank.d22.s0|6-24|Aminosalicylic acid|drug
DDI-DrugBank.d22.s0|53-59|digoxin|drug
DDI-DrugBank.d22.s0|62-79|cardiac glycosides|group
DDI-DrugBank.d22.s0|96-102|Lanoxin|brand
DDI-DrugBank.d22.s0|105-114|Lanoxicaps|brand
DDI-DrugBank.d22.s1|6-12|digoxin|drug
DDI-DrugBank.d22.s1|27-45|aminosalicylic acid|drug
DDI-DrugBank.d22.s1|64-70|digoxin|drug
DDI-DrugBank.d22.s2|6-24|Aminosalicylic acid|drug
DDI-DrugBank.d22.s3|0-18|aminosalicylic acid|drug
DDI-DrugBank.d22.s3|20-30|vitamin B12|drug
DDI-DrugBank.d318.s0|55-68|Anticoagulants|group
DDI-DrugBank.d318.s0|104-124|Antineoplastic agents|group
DDI-DrugBank.d318.s1|6-26|Antineoplastic agents|group
DDI-DrugBank.d318.s1|38-53|nitrogen mustard|group
DDI-DrugBank.d318.s2|6-22| Corticosteroids |group
DDI-DrugBank.d318.s2|28-42| Corticotropin |group
DDI-DrugBank.d318.s2|67-82| amphotericin B |group
DDI-DrugBank.d318.s3|6-22|antifungal agents|group
DDI-DrugBank.d318.s3|24-37|amphotericin B|drug
DDI-DrugBank.d318.s5|6-26|digitalis glycosides:|group
DDI-DrugBank.d318.s5|29-50|amphotericin B-induced|group
DDI-DrugBank.d318.s5|79-87|digitalis|group
DDI-DrugBank.d318.s7|9-19|Flucytosine|drug
DDI-DrugBank.d318.s7|23-36|Amphotericin B|drug
DDI-DrugBank.d318.s8|6-15|Imidazoles|group
DDI-DrugBank.d318.s8|25-36|ketoconazole|drug
DDI-DrugBank.d318.s8|39-48|miconazole|drug
DDI-DrugBank.d318.s8|51-62|clotrimazole|drug
DDI-DrugBank.d318.s8|65-75|fluconazole|drug
DDI-DrugBank.d318.s8|137-150|amphotericin B|group
DDI-DrugBank.d318.s8|156-165|Imidazoles|group
DDI-DrugBank.d318.s8|180-189|Imidazoles|group
DDI-DrugBank.d318.s8|223-236|amphotericin B|group
DDI-DrugBank.d318.s10|7-21|aminoglycosides|group
DDI-DrugBank.d318.s10|25-36|cyclosporine|group
DDI-DrugBank.d318.s10|40-50|pentamidine|group
DDI-DrugBank.d318.s11|6-19|anticoagulants|group
DDI-DrugBank.d318.s11|21-31|nephrotoxic|group
DDI-DrugBank.d318.s11|33-42|antifungal|group
DDI-DrugBank.d318.s11|44-53|vasoactive|group
DDI-DrugBank.d318.s11|55-63|diuretics|group
DDI-DrugBank.d318.s11|65-74|analgesics|group
DDI-DrugBank.d318.s11|76-92|anti-inflammatory|group
DDI-DrugBank.d318.s11|94-107|antihistamines|group
DDI-DrugBank.d318.s11|109-122|antipsychotics|group
DDI-DrugBank.d318.s11|124-134|antibiotics|group
DDI-DrugBank.d318.s11|136-145|antivirals|group
DDI-DrugBank.d318.s11|147-156|cardiovasc|group
DDI-DrugBank.d318.s11|158-171|antiarrhythmic|group
DDI-DrugBank.d318.s11|173-188|antihypertensive|group
DDI-DrugBank.d318.s11|190-201|antidiabetic|group
DDI-DrugBank.d318.s11|203-217|anticholinergic|group
DDI-DrugBank.d318.s11|219-232|anticonvulsant|group
DDI-DrugBank.d318.s11|234-243|antiemetic|group
DDI-DrugBank.d318.s11|245-258|antitubercular|group
DDI-DrugBank.d318.s11|260-272|antiparasitic|group
DDI-DrugBank.d318.s11|274-283|antibiotic|group
DDI-DrugBank.d318.s11|285-291|aspirin|brand
DDI-DrugBank.d318.s12|41-52|tubocurarine|drug
DDI-DrugBank.d318.s14|107-120|amphotericin B|drug
DDI-DrugBank.d357.s0|243-253|ondansetron|brand
DDI-DrugBank.d357.s0|256-266|granisetron|group
DDI-DrugBank.d357.s0|269-278|dolasetron|group
DDI-DrugBank.d357.s0|281-292|palonosetron|group
DDI-DrugBank.d357.s0|299-307|alosetron|group
DDI-DrugBank.d357.s1|61-88|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|94-105|Vasodilators|group
DDI-DrugBank.d357.s1|180-207|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|213-224|Vasodilators|group
DDI-DrugBank.d357.s1|267-294|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|300-311|Vasodilators|group
DDI-DrugBank.d357.s1|354-381|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|387-398|Vasodilators|group
DDI-DrugBank.d357.s1|441-468|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|474-485|Vasodilators|group
DDI-DrugBank.d357.s1|528-555|Antihypertensive Medications|group
DDI-DrugBank.d357.s1|561-572|Vasodilators|group
DDI-DrugBank.d357.s2|9-19|hypotension|group
DDI-DrugBank.d357.s3|6-19|phenothiazines|group
DDI-DrugBank.d357.s3|22-35|butyrophenones|group
DDI-DrugBank.d357.s3|38-50|thioxanthenes|group
DDI-DrugBank.d357.s3|53-66|metoclopramide|brand
DDI-DrugBank.d357.s3|69-80|neuroleptics|group
DDI-DrugBank.d357.s3|83-102|dopamine antagonists|group
DDI-DrugBank.d357.s3|105-115|apomorphine|drug
DDI-DrugBank.d357.s3|118-134|dopamine agonists|group
DDI-DrugBank.d357.s3|137-142|APOKYN|group
DDI-DrugBank.d357.s4|9-20|neuroleptics|drug
DDI-DrugBank.d357.s4|24-40|dopamine agonists|group
DDI-DrugBank.d357.s5|88-98|apomorphine|drug
DDI-DrugBank.d357.s5|119-156|drugs that prolong the QT/QTc interval|group
DDI-DrugBank.d357.s6|11-16|APOKYN|drug
DDI-DrugBank.d357.s6|22-31|laboratory|drug
DDI-DrugBank.d357.s6|37-41|tests|drug
DDI-DrugBank.d253.s0|81-90|arbutamine|drug
DDI-DrugBank.d253.s1|6-36|beta-adrenergic blocking agents|group
DDI-DrugBank.d253.s1|97-106|arbutamine|drug
DDI-DrugBank.d253.s2|6-26|Antiarrhythmic agents|group
DDI-DrugBank.d253.s2|29-35|class I|group
DDI-DrugBank.d253.s2|38-47|flecainide|drug
DDI-DrugBank.d253.s2|51-59|lidocaine|drug
DDI-DrugBank.d253.s2|62-70|quinidine|drug
DDI-DrugBank.d253.s2|73-86|anticoagulants|group
DDI-DrugBank.d253.s2|89-98|arbutamine|group
DDI-DrugBank.d253.s3|6-20|Antidepressants|group
DDI-DrugBank.d253.s3|23-31|tricyclic|group
DDI-DrugBank.d253.s3|35-42|atropine|group
DDI-DrugBank.d253.s3|45-46|or|group
DDI-DrugBank.d253.s3|48-52|other|group
DDI-DrugBank.d253.s3|54-68|anticholinergic|group
DDI-DrugBank.d253.s3|70-75|agents|group
DDI-DrugBank.d253.s3|79-87|digitalis|group
DDI-DrugBank.d253.s3|90-99|glycosides|group
DDI-DrugBank.d253.s3|103-112|concurrent|group
DDI-DrugBank.d253.s3|123-132|arbutamine|group
DDI-DrugBank.d253.s3|146-153|additive|group
DDI-DrugBank.d253.s3|187-163||group
DDI-DrugBank.d105.s0|9-22|Anticoagulants|group
DDI-DrugBank.d105.s0|34-53|coumarin derivatives|group
DDI-DrugBank.d105.s0|56-77|indandione derivatives|group
DDI-DrugBank.d105.s0|84-114|platelet aggregation inhibitors|group
DDI-DrugBank.d105.s0|124-130|aspirin|drug
DDI-DrugBank.d105.s0|203-211|ardeparin|brand
DDI-DrugBank.d509.s0|0-11|Aripiprazole|drug
DDI-DrugBank.d509.s0|13-19|ABILIFY|drug
DDI-DrugBank.d509.s0|21-46|ant centrally acting drugs|group
DDI-DrugBank.d509.s0|48-54|Alcohol|drug
DDI-DrugBank.d509.s1|0-6|aspirin|drug
DDI-DrugBank.d509.s2|41-52|aripiprazole|drug
DDI-DrugBank.d509.s2|122-144|antihypertensive agents|group
DDI-DrugBank.d509.s3|6-19|anticoagulants|group
DDI-DrugBank.d509.s3|21-23|CYP|group
DDI-DrugBank.d509.s3|33-38|CYP1A1|group
DDI-DrugBank.d509.s3|41-46|CYP1A2|group
DDI-DrugBank.d509.s3|49-54|CYP2A6|group
DDI-DrugBank.d509.s3|57-62|CYP2B6|group
DDI-DrugBank.d509.s3|65-70|CYP2C8|group
DDI-DrugBank.d509.s3|73-78|CYP2C9|group
DDI-DrugBank.d509.s3|81-87|CYP2C19|group
DDI-DrugBank.d509.s3|90-95|CYP2E1|group
DDI-DrugBank.d509.s3|97-103|ABILIFY|brand
DDI-DrugBank.d509.s3|105-107|CYP|group
DDI-DrugBank.d509.s3|109-120|Aripiprazole|brand
DDI-DrugBank.d509.s5|6-17|aripiprazole|drug
DDI-DrugBank.d509.s5|51-62|aripiprazole|drug
DDI-DrugBank.d509.s5|133-139|smoking|group
DDI-DrugBank.d509.s6|49-60|aripiprazole|drug
DDI-DrugBank.d509.s7|6-18|carbamazepine|group
DDI-DrugBank.d509.s7|20-31|aripiprazole|drug
DDI-DrugBank.d509.s8|32-43|ketoconazole|drug
DDI-DrugBank.d509.s8|61-69|quinidine|brand
DDI-DrugBank.d509.s8|72-81|fluoxetine|drug
DDI-DrugBank.d509.s8|87-96|paroxetine|brand
DDI-DrugBank.d509.s8|111-122|aripiprazole|drug
DDI-DrugBank.d509.s9|23-22||drug
DDI-DrugBank.d509.s9|55-54||brand
DDI-DrugBank.d509.s10|29-45|antifungal agents|group
DDI-DrugBank.d509.s11|41-57|antifungal agents|group
DDI-DrugBank.d509.s11|64-75|aripiprazole|brand
DDI-DrugBank.d509.s11|85-96|aripiprazole|brand
DDI-DrugBank.d509.s12|6-19|anticoagulants|group
DDI-DrugBank.d509.s12|97-108|itraconazole|brand
DDI-DrugBank.d509.s13|25-35|antibiotics|group
DDI-DrugBank.d509.s13|51-62|erythromycin|drug
DDI-DrugBank.d509.s13|83-98|grapefruit juice|drug_n
DDI-DrugBank.d509.s14|69-80|aripiprazole|brand
DDI-DrugBank.d509.s15|9-17|quinidine|drug
DDI-DrugBank.d509.s15|21-32|aripiprazole|drug
DDI-DrugBank.d509.s15|36-54|dehydroaripiprazole|drug
DDI-DrugBank.d509.s15|58-63|CYP2D6|group
DDI-DrugBank.d509.s15|67-75|quinidine|brand
DDI-DrugBank.d509.s15|79-90|aripiprazole|brand
DDI-DrugBank.d509.s16|9-20|Aripiprazole|drug
DDI-DrugBank.d509.s16|24-32|quinidine|drug
DDI-DrugBank.d509.s17|7-16|fluoxetine|drug
DDI-DrugBank.d509.s17|18-27|paroxetine|drug
DDI-DrugBank.d509.s18|9-24|CYP2D6 inhibitor|drug
DDI-DrugBank.d509.s19|6-19|anticoagulants|group
DDI-DrugBank.d509.s19|21-27|aspirin|brand
DDI-DrugBank.d509.s19|29-41|carbamazepine|drug
DDI-DrugBank.d509.s19|43-48|CYP3A4|group
DDI-DrugBank.d509.s19|50-61|aripiprazole|drug
DDI-DrugBank.d509.s19|63-68|CYP3A4|group
DDI-DrugBank.d509.s19|70-83|anticoagulants|group
DDI-DrugBank.d509.s19|85-104|dehydro-aripiprazole|drug
DDI-DrugBank.d509.s20|5-19|carbamamazepine|drug
DDI-DrugBank.d509.s20|33-44|aripiprazole|drug
DDI-DrugBank.d509.s20|55-66|aripiprazole|drug
DDI-DrugBank.d509.s22|5-19|carbamamazepine|drug
DDI-DrugBank.d509.s22|64-75|aripiprazole|drug
DDI-DrugBank.d509.s23|43-52|famotidine|drug
DDI-DrugBank.d509.s23|55-63|valproate|drug
DDI-DrugBank.d509.s23|69-75|lithium|drug
DDI-DrugBank.d509.s23|113-124|aripiprazole|drug
DDI-DrugBank.d509.s24|6-19|anticoagulants|group
DDI-DrugBank.d509.s24|21-27|ABILIFY|brand
DDI-DrugBank.d509.s24|29-40|aripiprazole|drug
DDI-DrugBank.d509.s25|46-59| aripiprazole |drug
DDI-DrugBank.d509.s25|104-111| CYP2D6 |group
DDI-DrugBank.d509.s25|114-131| dextromethorphan |drug
DDI-DrugBank.d509.s25|135-142| CYP2C9 |group
DDI-DrugBank.d509.s25|145-154| warfarin |brand
DDI-DrugBank.d509.s25|158-166| CYP2C19 |group
DDI-DrugBank.d509.s25|169-177| CYP2C19 |group
DDI-DrugBank.d509.s25|217-228| omeprazole |drug
DDI-DrugBank.d509.s25|242-251| warfarin |brand
DDI-DrugBank.d509.s25|259-266| CYP3A4 |group
DDI-DrugBank.d509.s25|269-223||drug
DDI-DrugBank.d509.s25|294-301| CYP2D6 |group
DDI-DrugBank.d509.s25|304-273||drug
DDI-DrugBank.d509.s26|6-17|aripiprazole|drug
DDI-DrugBank.d509.s26|23-41|dehydroaripiprazole|drug
DDI-DrugBank.d509.s27|6-12|alcohol|drug
DDI-DrugBank.d509.s27|59-70|aripiprazole|drug
DDI-DrugBank.d509.s27|92-98|ethanol|drug
DDI-DrugBank.d509.s27|132-138|ethanol|drug
DDI-DrugBank.d509.s28|102-108|ABILIFY|brand
DDI-DrugBank.d509.s29|0-17|acetilsalicic acid|drug
DDI-DrugBank.d509.s29|19-30|glutethimide|drug
DDI-DrugBank.d509.s29|32-38|aspirin|drug
DDI-DrugBank.d509.s29|40-44|xanax|drug
DDI-DrugBank.d509.s29|46-62|clostridium toxin|drug_n
DDI-DrugBank.d509.s29|64-69|heroin|drug_n
DDI-DrugBank.d109.s0|9-20|Ketoconazole|drug
DDI-DrugBank.d109.s0|24-33|Macrolides|group
DDI-DrugBank.d109.s0|37-45|Including|group
DDI-DrugBank.d109.s0|49-60|Erythromycin|group
DDI-DrugBank.d73.s0|6-34|catecholamine-depleting drugs|group
DDI-DrugBank.d73.s0|41-49|reserpine|drug
DDI-DrugBank.d73.s0|96-115|beta-blocking agents|group
DDI-DrugBank.d73.s1|9-16|TENORMIN|drug
DDI-DrugBank.d73.s1|20-41|catecholamine depletor|group
DDI-DrugBank.d73.s2|10-9||brand
DDI-DrugBank.d73.s3|9-17|clonidine|drug
DDI-DrugBank.d73.s4|41-52|beta blocker|drug
DDI-DrugBank.d73.s4|120-128|clonidine|drug
DDI-DrugBank.d73.s6|59-72|anticoagulants|group
DDI-DrugBank.d73.s6|77-93|antifungal agents|group
DDI-DrugBank.d73.s6|134-147|anticoagulants|group
DDI-DrugBank.d73.s6|153-169|antifungal agents|group
DDI-DrugBank.d73.s6|206-244|prostaglandin synthase inhibiting drugs|group
DDI-DrugBank.d73.s6|305-343|prostaglandin synthase inhibiting drugs|group
DDI-DrugBank.d73.s7|6-13|atenolol|drug
DDI-DrugBank.d73.s7|15-28|anticoagulants|group
DDI-DrugBank.d73.s7|30-36|aspirin|drug
DDI-DrugBank.d73.s8|6-12|aspirin|drug
DDI-DrugBank.d73.s8|18-30|beta blockers|group
DDI-DrugBank.d73.s9|13-25|beta blockers|drug
DDI-DrugBank.d73.s10|62-72|epinephrine|drug
DDI-DrugBank.d489.s0|9-22|anticoagulants|group
DDI-DrugBank.d489.s0|26-32|Kerlone|brand
DDI-DrugBank.d489.s0|36-45|cimetidine|drug
DDI-DrugBank.d489.s0|49-58|nifedipine|drug
DDI-DrugBank.d489.s0|62-75|chlorthalidone|drug
DDI-DrugBank.d489.s0|79-97|hydrochlorothiazide|drug
DDI-DrugBank.d489.s2|6-34|catecholamine-depleting drugs|group
DDI-DrugBank.d489.s2|43-51|reserpine|drug
DDI-DrugBank.d489.s2|98-117|beta-blocking agents|group
DDI-DrugBank.d489.s3|6-19|anticoagulants|group
DDI-DrugBank.d489.s3|21-27|aspirin|brand
DDI-DrugBank.d489.s5|10-28|calcium antagonists|drug
DDI-DrugBank.d489.s5|33-56|oral calcium antagonists|group
DDI-DrugBank.d489.s5|61-91|beta-adrenergic blocking agents|group
DDI-DrugBank.d489.s6|6-19|anticoagulants|group
DDI-DrugBank.d489.s6|22-28|aspirin|brand
DDI-DrugBank.d489.s6|31-44|anticoagulants|group
DDI-DrugBank.d489.s6|47-60|anticoagulants|group
DDI-DrugBank.d489.s8|9-21|beta-blockers|drug
DDI-DrugBank.d489.s8|25-35|epinephrine|drug
DDI-DrugBank.d489.s9|9-21|beta-blockers|drug
DDI-DrugBank.d489.s10|62-72|epinephrine|drug
DDI-DrugBank.d497.s0|38-42|AZOPT|brand
DDI-DrugBank.d497.s1|9-20|brinzolamide|drug
DDI-DrugBank.d497.s2|94-107|anticoagulants|group
DDI-DrugBank.d497.s2|171-177|aspirin|brand
DDI-DrugBank.d497.s3|38-48|interaction|drug
DDI-DrugBank.d153.s0|6-31|local anesthetic solutions|group
DDI-DrugBank.d153.s0|44-57|norepinephrine|drug
DDI-DrugBank.d153.s0|62-72|epinephrine|drug
DDI-DrugBank.d153.s0|96-123|monoamine oxidase inhibitors|group
DDI-DrugBank.d153.s0|128-152|tricyclic antidepressants|group
DDI-DrugBank.d153.s3|9-25|vasopressor drugs|drug
DDI-DrugBank.d153.s3|29-53|ergot-type oxytocic drugs|group
DDI-DrugBank.d153.s4|11-24|phenothiazines|group
DDI-DrugBank.d153.s4|30-43|butyrophenones|group
DDI-DrugBank.d153.s4|49-59|epinephrine|group
DDI-DrugBank.d213.s0|6-11|Iodine|drug
DDI-DrugBank.d213.s0|16-21|Iodine|drug
DDI-DrugBank.d213.s0|57-67|Carbimazole|drug
DDI-DrugBank.d213.s0|77-82|Iodine|drug
DDI-DrugBank.d213.s0|122-132|Carbimazole|drug
DDI-DrugBank.d213.s1|30-36|digoxin|drug
DDI-DrugBank.d213.s1|42-50|digitoxin|drug
DDI-DrugBank.d213.s1|84-101|antithyroid agents|group
DDI-DrugBank.d213.s2|9-15|aspirin|drug
DDI-DrugBank.d213.s3|148-158|Carbimazole|brand
DDI-DrugBank.d213.s4|6-19|anticoagulants|group
DDI-DrugBank.d213.s4|38-51|anticoagulants|group
DDI-DrugBank.d520.s0|9-11|The|drug
DDI-DrugBank.d520.s0|30-50|nephrotoxic compounds|drug
DDI-DrugBank.d520.s0|74-84|Carboplatin|brand
DDI-DrugBank.d269.s1|6-19|anticoagulants|group
DDI-DrugBank.d269.s1|21-30|carvedilol|brand
DDI-DrugBank.d269.s1|32-48|antifungal agents|group
DDI-DrugBank.d269.s1|50-63|anticoagulants|group
DDI-DrugBank.d269.s1|65-81|antifungal agents|group
DDI-DrugBank.d269.s1|83-96|anticoagulants|group
DDI-DrugBank.d269.s1|98-106|quinidine|brand
DDI-DrugBank.d269.s1|108-117|fluoxetine|brand
DDI-DrugBank.d269.s1|119-128|paroxetine|brand
DDI-DrugBank.d269.s1|130-140|propafenone|brand
DDI-DrugBank.d269.s1|142-155|anticoagulants|group
DDI-DrugBank.d269.s1|157-166|carvedilol|brand
DDI-DrugBank.d269.s1|168-184|antifungal agents|group
DDI-DrugBank.d269.s2|0-2|2D6|drug
DDI-DrugBank.d269.s2|4-12|dizziness|drug
DDI-DrugBank.d269.s2|14-23|a-blocking|group
DDI-DrugBank.d269.s2|25-39|R(+) enantiomer|drug
DDI-DrugBank.d269.s2|41-52|vasodilating|drug
DDI-DrugBank.d269.s2|54-60|effects|drug
DDI-DrugBank.d269.s3|9-39|Catecholamine-depleting Agents:|drug
DDI-DrugBank.d269.s3|43-269|Patients taking both agents with b-blocking properties and a drug that can deplete catecholamines (e.g., reserpine and monoamine oxidase inhibitors) should be observed closely for signs of hypotension and/or severe bradycardia.|group
DDI-DrugBank.d269.s4|11-19|Clonidine|drug
DDI-DrugBank.d269.s5|44-57|anticoagulants|group
DDI-DrugBank.d269.s5|63-79|antifungal agents|group
DDI-DrugBank.d269.s5|106-119|anticoagulants|group
DDI-DrugBank.d269.s6|9-17|Clonidine|drug
DDI-DrugBank.d269.s7|53-65|circlosporine|drug
DDI-DrugBank.d269.s7|120-129|carvedilol|brand
DDI-DrugBank.d269.s8|6-23|immunosuppressants|group
DDI-DrugBank.d269.s8|25-36|cyclosporine|brand
DDI-DrugBank.d269.s9|49-59|cylosporine|drug
DDI-DrugBank.d269.s10|6-17|cyclosporine|drug
DDI-DrugBank.d269.s10|19-32|anticoagulants|group
DDI-DrugBank.d269.s10|34-50|antifungal agents|group
DDI-DrugBank.d269.s10|52-61|carvedilol|drug
DDI-DrugBank.d269.s10|63-76|anticoagulants|group
DDI-DrugBank.d269.s10|78-89|cyclosporine|drug
DDI-DrugBank.d269.s11|6-12|Digoxin|drug
DDI-DrugBank.d269.s11|15-21|Digoxin|drug
DDI-DrugBank.d269.s11|70-76|Digoxin|drug
DDI-DrugBank.d269.s11|82-91|carvedilol|brand
DDI-DrugBank.d269.s12|11-17|digoxin|drug
DDI-DrugBank.d269.s12|23-27|COREG|brand
