DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|group
DDI-DrugBank.d172.s5|87-103|antifungal agents|group
DDI-DrugBank.d172.s6|22-30|celecoxib|group
DDI-DrugBank.d172.s8|12-20|celecoxib|group
DDI-DrugBank.d172.s8|73-81|glyburide|drug
DDI-DrugBank.d172.s8|84-95|ketoconazole|drug_n
DDI-DrugBank.d172.s8|98-109|methotrexate|drug
DDI-DrugBank.d172.s8|112-120|phenytoin|drug
DDI-DrugBank.d172.s8|123-133|tolbutamide|drug
DDI-DrugBank.d172.s8|140-147|warfarin|group
DDI-DrugBank.d172.s10|66-73|celebrex|group
DDI-DrugBank.d172.s11|12-184|clinical studies, as well as post marketing observations, have shown that NSAIDs can reduce the natriuretic effect of <drug>furosemide</drug> and thiazides in some patients.|group
DDI-DrugBank.d172.s11|130-139|furosemide|drug
DDI-DrugBank.d172.s13|9-16|CELEBREX|group
DDI-DrugBank.d172.s13|44-50|aspirin|drug
DDI-DrugBank.d172.s15|41-48|CELEBREX|group
DDI-DrugBank.d172.s15|74-80|aspirin|brand
DDI-DrugBank.d172.s16|43-53|fluconazole|group
DDI-DrugBank.d172.s16|103-111|celecoxib|group
DDI-DrugBank.d172.s17|42-50|celecoxib|group
DDI-DrugBank.d172.s18|83-93|fluconazole|group
DDI-DrugBank.d172.s21|78-89|methotrexate|group
DDI-DrugBank.d172.s21|162-173|methotrexate|drug
DDI-DrugBank.d172.s23|19-27|celecoxib|group
DDI-DrugBank.d172.s24|51-58|CELEBREX|group
DDI-DrugBank.d172.s24|65-72|warfarin|group
DDI-DrugBank.d141.s1|40-51|cerivastatin|group
DDI-DrugBank.d141.s2|12-23|cerivastatin|group
DDI-DrugBank.d141.s2|89-98|cimetidine|drug
DDI-DrugBank.d141.s3|0-13|Cholestyramine|drug
DDI-DrugBank.d141.s3|65-78|Cholestyramine|drug
DDI-DrugBank.d141.s3|130-143|Cholestyramine|drug
DDI-DrugBank.d141.s4|20-38|cerivastatin sodium|group
DDI-DrugBank.d141.s4|44-57|cholestyramine|group
DDI-DrugBank.d141.s4|169-187|cerivastatin sodium|group
DDI-DrugBank.d141.s6|58-76|cerivastatin sodium|group
DDI-DrugBank.d141.s6|99-112|cholestyramine|brand
DDI-DrugBank.d141.s6|213-231|cerivastatin sodium|group
DDI-DrugBank.d141.s7|16-22|digoxin|drug
DDI-DrugBank.d141.s7|35-41|digoxin|drug
DDI-DrugBank.d141.s13|106-124|cerivastatin sodium|group
DDI-DrugBank.d141.s13|154-189|angiotensin- converting enzyme (ACE)|group
DDI-DrugBank.d141.s13|203-214|betablockers|group
DDI-DrugBank.d141.s13|217-240|calcium-channel blockers|group
DDI-DrugBank.d141.s13|243-251|diuretics|group
DDI-DrugBank.d141.s13|296-301|NSAIDs|group
DDI-DrugBank.d287.s0|66-79|anticoagulants|group
DDI-DrugBank.d287.s2|68-83|anticholinergics|group
DDI-DrugBank.d287.s2|86-102|antifungal agents|group
DDI-DrugBank.d287.s2|105-118|anticoagulants|group
DDI-DrugBank.d287.s2|121-135|antidote agents|group
DDI-DrugBank.d287.s2|138-154|antifungal agents|group
DDI-DrugBank.d287.s2|157-173|antifungal agents|group
DDI-DrugBank.d287.s2|176-192|antifungal agents|group
DDI-DrugBank.d287.s2|195-211|antifungal agents|group
DDI-DrugBank.d287.s2|214-230|antifungal agents|group
DDI-DrugBank.d287.s2|233-249|antifungal agents|group
DDI-DrugBank.d287.s2|252-268|antifungal agents|group
DDI-DrugBank.d287.s2|271-287|antifungal agents|group
DDI-DrugBank.d287.s2|290-306|antifungal agents|group
DDI-DrugBank.d287.s2|309-325|antifungal agents|group
DDI-DrugBank.d287.s2|328-344|antifungal agents|group
DDI-DrugBank.d287.s2|347-363|antifungal agents|group
DDI-DrugBank.d287.s2|366-382|antifungal agents|group
DDI-DrugBank.d287.s2|385-401|antifungal agents|group
DDI-DrugBank.d287.s2|404-420|antifungal agents|group
DDI-DrugBank.d287.s2|423-439|antifungal agents|group
DDI-DrugBank.d287.s2|442-458|antifungal agents|group
DDI-DrugBank.d287.s2|461-477|antifungal agents|group
DDI-DrugBank.d287.s2|480-496|antifungal agents|group
DDI-DrugBank.d287.s2|499-515|antifungal agents|group
DDI-DrugBank.d287.s3|71-80|cevimeline|group
DDI-DrugBank.d287.s5|22-84|cytochrome P450 isozymes 1A2, 2A6, 2C9, 2C19, 2D6, 2E1, and 3A4|drug
DDI-DrugBank.d255.s0|47-58|chlorambucil|group
DDI-DrugBank.d110.s0|60-70|epinephrine|group
DDI-DrugBank.d110.s0|75-88|norepinephrine|group
DDI-DrugBank.d110.s0|112-139|monoamine oxidase inhibitors|group
DDI-DrugBank.d110.s0|142-166|tricyclic antidepressants|group
DDI-DrugBank.d110.s0|171-184|phenothiazines|group
DDI-DrugBank.d110.s3|29-45|vasopressor drugs|group
DDI-DrugBank.d110.s3|114-138|ergot-type oxytocic drugs|group
DDI-DrugBank.d110.s5|11-24|chloroprocaine|group
DDI-DrugBank.d110.s5|73-83|sulfonamide|group
DDI-DrugBank.d429.s0|66-76|chloroquine|group
DDI-DrugBank.d429.s1|67-77|chloroquine|group
DDI-DrugBank.d429.s3|19-32|anticoagulants|group
DDI-DrugBank.d429.s4|46-56|chloroquine|group
DDI-DrugBank.d429.s4|59-71|significantly|group
DDI-DrugBank.d429.s4|73-79|reduced|group
DDI-DrugBank.d429.s4|81-83|the|group
DDI-DrugBank.d429.s4|85-99|bioavailability|group
DDI-DrugBank.d429.s4|101-102|of|group
DDI-DrugBank.d429.s4|104-113|ampicillin|group
DDI-DrugBank.d429.s4|116-147|In a study of healthy volunteers|group
DDI-DrugBank.d429.s4|150-160|chloroquine|group
DDI-DrugBank.d429.s4|162-162|:|group
DDI-DrugBank.d429.s4|164-176|significantly|group
DDI-DrugBank.d429.s4|178-184|reduced|group
DDI-DrugBank.d429.s4|186-188|the|group
DDI-DrugBank.d429.s4|190-204|bioavailability|group
DDI-DrugBank.d429.s4|206-207|of|group
DDI-DrugBank.d429.s4|209-218|ampicillin|group
DDI-DrugBank.d429.s4|221-222|of|group
DDI-DrugBank.d429.s4|224-228|human|group
DDI-DrugBank.d429.s4|230-232|use|group
DDI-DrugBank.d429.s4|234-234|,|group
DDI-DrugBank.d429.s5|67-77|chloroquine|group
DDI-DrugBank.d429.s6|87-96|cytosporin|group
DDI-DrugBank.d429.s7|37-53|clostridium toxin|group
DDI-DrugBank.d429.s7|95-105|chloroquine|drug
DDI-DrugBank.d446.s0|52-58|aspirin|group
DDI-DrugBank.d446.s0|61-72|barbiturates|brand
DDI-DrugBank.d446.s0|75-87|bromocriptine|drug_n
DDI-DrugBank.d446.s0|143-154|cyclosporine|group
DDI-DrugBank.d446.s0|157-166|dantrolene|drug_n
DDI-DrugBank.d446.s0|179-188|somatropin|group
DDI-DrugBank.d446.s0|191-199|tamoxifen|brand
DDI-DrugBank.d245.s0|27-39| sulfonylurea|group
DDI-DrugBank.d245.s0|313-327| anticoagulants|group
DDI-DrugBank.d245.s1|10-19| medicines|group
DDI-DrugBank.d245.s2|10-19| diabinese|group
DDI-DrugBank.d245.s2|60-68|diabinese|drug
DDI-DrugBank.d245.s6|10-18|diabinese|group
DDI-DrugBank.d245.s7|48-59|barbiturates|group
DDI-DrugBank.d245.s7|94-107|chlorpropamide|drug
DDI-DrugBank.d245.s7|110-121|barbiturates|group
DDI-DrugBank.d245.s9|32-46|oral miconazole|group
DDI-DrugBank.d245.s9|52-75|oral hypoglycemic agents|group
DDI-DrugBank.d171.s0|0-6|Tagamet|drug
DDI-DrugBank.d171.s1|59-72|anticoagulants|group
DDI-DrugBank.d171.s2|127-133|Tagamet|group
DDI-DrugBank.d171.s3|17-25|phenytoin|group
DDI-DrugBank.d171.s3|28-36|lidocaine|group
DDI-DrugBank.d171.s4|64-70|Tagamet|group
DDI-DrugBank.d171.s4|160-167|Theo-Dur|brand
DDI-DrugBank.d171.s4|170-194|Key Pharmaceuticals, Inc.|brand
DDI-DrugBank.d171.s4|242-253|theophylline|group
DDI-DrugBank.d171.s6|0-11|theophylline|drug
DDI-DrugBank.d171.s7|14-20|Tagamet|group
DDI-DrugBank.d171.s7|54-61|antacids|group
DDI-DrugBank.d171.s7|237-243|Tagamet|drug
DDI-DrugBank.d171.s8|63-76|anticoagulants|group
DDI-DrugBank.d171.s8|79-95|antifungal agents|group
DDI-DrugBank.d171.s8|105-111|aspirin|drug
DDI-DrugBank.d171.s8|224-235|glutethimide|drug
DDI-DrugBank.d171.s8|245-258|anticoagulants|group
DDI-DrugBank.d171.s8|261-277|antifungal agents|group
DDI-DrugBank.d171.s8|390-401|glutethimide|drug
DDI-DrugBank.d171.s9|75-88|anticoagulants|group
DDI-DrugBank.d237.s1|113-121|cisapride|group
DDI-DrugBank.d237.s2|52-99|clarithromycin, erythromycin, and troleandomycin|group
DDI-DrugBank.d237.s2|136-144|cisapride|drug
DDI-DrugBank.d237.s2|189-197|cisapride|drug
DDI-DrugBank.d237.s3|90-109|belladonna alkaloids|group
DDI-DrugBank.d237.s3|115-125|dicyclomine|group
DDI-DrugBank.d237.s3|186-194|cisapride|group
DDI-DrugBank.d237.s4|45-58|anticoagulants|group
DDI-DrugBank.d237.s4|90-103|anticoagulants|group
DDI-DrugBank.d237.s4|135-148|anticoagulants|group
DDI-DrugBank.d237.s4|180-193|anticoagulants|group
DDI-DrugBank.d237.s4|225-238|anticoagulants|group
DDI-DrugBank.d237.s4|270-283|anticoagulants|group
DDI-DrugBank.d237.s4|315-328|anticoagulants|group
DDI-DrugBank.d237.s4|360-373|anticoagulants|group
DDI-DrugBank.d237.s4|405-418|anticoagulants|group
DDI-DrugBank.d237.s4|450-463|anticoagulants|group
DDI-DrugBank.d237.s4|495-508|anticoagulants|group
DDI-DrugBank.d237.s4|540-553|anticoagulants|group
DDI-DrugBank.d237.s4|585-598|anticoagulants|group
DDI-DrugBank.d237.s5|107-120|anticoagulants|group
DDI-DrugBank.d237.s6|20-202|in vitro data indicate that nefazodone inhibits the metabolism of cisapride, which can result in an increase in plasma cisapride levels and prolongation of the QT interval on the ECG.|group
DDI-DrugBank.d237.s8|46-57|ketoconazole|group
DDI-DrugBank.d237.s9|82-90|cisapride|group
DDI-DrugBank.d237.s9|96-107|ketoconazole|drug
DDI-DrugBank.d237.s11|35-44|cimetidine|group
DDI-DrugBank.d237.s11|50-59|ranitidine|group
DDI-DrugBank.d237.s11|110-118|cisapride|drug
DDI-DrugBank.d237.s12|49-57|indinavir|group
DDI-DrugBank.d237.s12|63-71|ritonavir|group
DDI-DrugBank.d237.s12|108-116|cisapride|group
DDI-DrugBank.d237.s12|160-168|cisapride|group
DDI-DrugBank.d237.s14|138-145|Class IA|group
DDI-DrugBank.d237.s14|148-156|quinidine|group
DDI-DrugBank.d237.s14|162-173|procainamide|group
DDI-DrugBank.d237.s14|180-188|Class III|group
DDI-DrugBank.d237.s14|191-197|sotalol|group
DDI-DrugBank.d237.s15|0-24|tricyclic antidepressants|group
DDI-DrugBank.d237.s15|149-161|amitriptyline|group
DDI-DrugBank.d237.s16|45-55|maprotiline|group
DDI-DrugBank.d237.s16|58-64|doxepin|drug
DDI-DrugBank.d237.s17|8-32|antipsychotic medications|group
DDI-DrugBank.d237.s17|43-52|sertindole|drug
DDI-DrugBank.d237.s18|0-9|astemizole|drug
DDI-DrugBank.d237.s18|12-19|bepridil|drug
DDI-DrugBank.d237.s18|22-33|sparfloxacin|drug
DDI-DrugBank.d237.s18|40-49|terodiline|drug
DDI-DrugBank.d464.s0|55-73|general anesthetics|group
DDI-DrugBank.d464.s0|76-89|phenothiazines|group
DDI-DrugBank.d464.s0|92-104|tranquilizers|group
DDI-DrugBank.d464.s0|107-124|sedative-hypnotics|group
DDI-DrugBank.d464.s0|163-169|alcohol|brand
DDI-DrugBank.d250.s1|77-90|anticoagulants|group
DDI-DrugBank.d250.s1|95-111|antifungal agents|group
DDI-DrugBank.d250.s2|34-45|tubocurarine|group
DDI-DrugBank.d250.s2|75-79|ether|group
DDI-DrugBank.d250.s2|82-96|succinylcholine|group
DDI-DrugBank.d250.s2|99-107|gallamine|group
DDI-DrugBank.d250.s2|110-122|decamethonium|group
DDI-DrugBank.d250.s2|260-282|Coly-Mycin M Parenteral|drug
DDI-DrugBank.d250.s3|53-64|Coly-Mycin M|group
DDI-DrugBank.d250.s4|23-33|cephalothin|group
DDI-DrugBank.d250.s4|39-61|Coly-Mycin M Parenteral|brand
DDI-DrugBank.d317.s0|0-17|acetilsalicic acid|drug
DDI-DrugBank.d317.s0|20-31|glutethimide|drug
DDI-DrugBank.d317.s0|34-40|aspirin|drug
DDI-DrugBank.d317.s0|43-54|glutethimide|drug
DDI-DrugBank.d317.s1|90-103|anticoagulants|group
DDI-DrugBank.d317.s1|105-121|antifungal agents|group
DDI-DrugBank.d317.s3|123-136|anticoagulants|group
DDI-DrugBank.d317.s4|20-33|anticoagulants|group
DDI-DrugBank.d317.s4|39-55|antifungal agents|group
DDI-DrugBank.d317.s7|3-20|acetilsalicic acid|drug
DDI-DrugBank.d317.s7|22-35|anticoagulants|group
DDI-DrugBank.d317.s7|129-145|antifungal agents|group
DDI-DrugBank.d317.s7|147-158|glutethimide|drug
DDI-DrugBank.d317.s7|160-165|heroin|drug_n
DDI-DrugBank.d317.s7|167-173|aspirin|drug
DDI-DrugBank.d317.s7|175-179|xanax|drug
DDI-DrugBank.d317.s7|273-289|antifungal agents|group
DDI-DrugBank.d317.s7|291-302|glutethimide|drug
DDI-DrugBank.d317.s7|304-309|heroin|drug_n
DDI-DrugBank.d317.s7|311-317|aspirin|drug
DDI-DrugBank.d317.s7|319-323|xanax|drug
DDI-DrugBank.d317.s7|417-433|antifungal agents|group
DDI-DrugBank.d317.s7|435-446|glutethimide|drug
DDI-DrugBank.d317.s7|448-453|heroin|drug_n
DDI-DrugBank.d317.s7|455-461|aspirin|drug
DDI-DrugBank.d317.s7|463-467|xanax|drug
DDI-DrugBank.d317.s11|12-38|thyroid replacement therapy|group
DDI-DrugBank.d317.s12|3-20|acetilsalicic acid|drug
DDI-DrugBank.d317.s12|68-79|glutethimide|drug
DDI-DrugBank.d317.s12|108-121|anticoagulants|group
DDI-DrugBank.d317.s12|159-175|antifungal agents|group
DDI-DrugBank.d317.s12|411-417|aspirin|brand
DDI-DrugBank.d317.s12|459-463|xanax|brand
DDI-DrugBank.d317.s12|501-506|heroin|drug_n
DDI-DrugBank.d317.s13|56-87| corticosteroid binding globulin|group
DDI-DrugBank.d317.s13|90-94| SHBG|group
DDI-DrugBank.d317.s15|73-91|alpha-1-antitrypsin|group
DDI-DrugBank.d317.s15|94-106|ceruloplasmin|group
DDI-DrugBank.d317.s16|3-16|anticoagulants|group
DDI-DrugBank.d317.s16|22-38|antifungal agents|group
DDI-DrugBank.d317.s16|70-79|thrombosis|group
DDI-DrugBank.d317.s16|85-93|infection|group
DDI-DrugBank.d317.s16|109-115|aspirin|brand
DDI-DrugBank.d317.s16|139-146|headache|group
DDI-DrugBank.d317.s16|152-155|pain|group
DDI-DrugBank.d317.s16|219-227|infection|group
DDI-DrugBank.d317.s16|233-240|toxicity|group
DDI-DrugBank.d317.s16|310-316|obesity|group
DDI-DrugBank.d317.s16|322-335|sleep disorder|group
DDI-DrugBank.d317.s18|3-16|anticoagulants|group
DDI-DrugBank.d317.s18|18-24|aspirin|drug
DDI-DrugBank.d317.s18|118-134|antifungal agents|group
DDI-DrugBank.d317.s18|136-140|xanax|drug
DDI-DrugBank.d317.s18|186-196|antibiotics|group
DDI-DrugBank.d317.s18|278-294|antifungal agents|group
DDI-DrugBank.d317.s18|345-358|anticoagulants|group
DDI-DrugBank.d317.s18|440-456|antifungal agents|group
DDI-DrugBank.d317.s18|556-569|anticoagulants|group
DDI-DrugBank.d317.s18|651-667|antifungal agents|group
DDI-DrugBank.d317.s20|3-14|glutethimide|drug
DDI-DrugBank.d317.s20|116-128|phenobarbital|drug
DDI-DrugBank.d317.s20|229-243|chloral hydrate|drug
DDI-DrugBank.d317.s20|345-358|anticoagulants|group
DDI-DrugBank.d317.s20|408-414|aspirin|drug
DDI-DrugBank.d317.s20|827-832|prozac|brand
DDI-DrugBank.d101.s0|20-28|digitoxin|group
DDI-DrugBank.d101.s1|32-38|digoxin|group
DDI-DrugBank.d101.s2|19-27|digitoxin|group
DDI-DrugBank.d185.s1|45-47|TMP|drug
DDI-DrugBank.d185.s1|53-55|SMX|group
DDI-DrugBank.d185.s4|41-48|rifampin|group
DDI-DrugBank.d185.s4|51-65|anticonvulsants|group
DDI-DrugBank.d185.s4|72-81|salicylate|drug
DDI-DrugBank.d185.s4|86-92|aspirin|drug
DDI-DrugBank.d185.s4|130-138|valproate|group
DDI-DrugBank.d185.s4|144-152|phenytoin|group
DDI-DrugBank.d185.s5|5-8|wort|group
DDI-DrugBank.d185.s6|29-42|anticoagulants|group
DDI-DrugBank.d185.s8|698-709|glutethimide|drug
DDI-DrugBank.d185.s8|803-816|anticoagulants|group
DDI-DrugBank.d185.s8|818-834|antifungal agents|group
DDI-DrugBank.d185.s8|836-842|aspirin|brand
DDI-DrugBank.d185.s8|844-849|heroin|drug_n
DDI-DrugBank.d69.s0|7-16|Cerubidine|group
DDI-DrugBank.d69.s3|20-29|Cerubidine|group
DDI-DrugBank.d69.s4|33-44|methotrexate|group
DDI-DrugBank.d197.s2|51-61|sevoflurane|group
DDI-DrugBank.d197.s2|64-73|isoflurane|group
DDI-DrugBank.d197.s2|76-83|propofol|group
DDI-DrugBank.d197.s2|86-95|alfentanil|brand
DDI-DrugBank.d197.s2|102-110|midazolam|group
DDI-DrugBank.d197.s3|40-54|dexmedetomidine|drug
DDI-DrugBank.d197.s3|82-92|alphenifene|group
DDI-DrugBank.d197.s5|81-88|PRECEDEX|group
DDI-DrugBank.d197.s5|137-139|one|group
DDI-DrugBank.d197.s5|254-263|rocuronium|group
DDI-DrugBank.d181.s1|9-20|combinations|group
DDI-DrugBank.d19.s0|57-66|disulfiram|group
DDI-DrugBank.d19.s0|219-232|anticoagulants|group
DDI-DrugBank.d19.s1|67-81|anticonvulsants|group
DDI-DrugBank.d19.s4|16-24|phenytoin|group
DDI-DrugBank.d19.s6|49-62|anticoagulants|group
DDI-DrugBank.d19.s6|91-100|disulfiram|drug
DDI-DrugBank.d19.s6|109-118|disulfiram|drug
DDI-DrugBank.d19.s7|16-24|isoniazid|group
DDI-DrugBank.d19.s7|31-40|disulfiram|group
DDI-DrugBank.d19.s9|35-44|disulfiram|group
DDI-DrugBank.d19.s9|149-158|disulfiram|group
DDI-DrugBank.d371.s0|95-106|medications.|group
DDI-DrugBank.d371.s1|197-210|anticoagulants|group
DDI-DrugBank.d371.s1|213-229|antifungal agents|group
DDI-DrugBank.d371.s1|232-238|aspirin|brand
DDI-DrugBank.d371.s1|241-245|xanax|brand
DDI-DrugBank.d371.s1|340-370|groups or families of medicines|group
DDI-DrugBank.d371.s1|380-393|anticoagulants|group
DDI-DrugBank.d371.s1|396-412|antifungal agents|group
DDI-DrugBank.d371.s1|415-421|aspirin|brand
DDI-DrugBank.d371.s1|424-428|xanax|brand
DDI-DrugBank.d371.s1|523-553|groups or families of medicines|group
DDI-DrugBank.d371.s1|563-576|anticoagulants|group
DDI-DrugBank.d371.s1|579-595|antifungal agents|group
DDI-DrugBank.d371.s1|598-604|aspirin|brand
DDI-DrugBank.d371.s1|607-611|xanax|brand
DDI-DrugBank.d371.s2|39-52|anticoagulants|group
DDI-DrugBank.d371.s2|87-94|TAXOTERE|drug
DDI-DrugBank.d367.s1|44-61|doxazosin mesylate|drug
DDI-DrugBank.d367.s1|99-105|digoxin|drug
DDI-DrugBank.d367.s1|108-115|warfarin|group
DDI-DrugBank.d367.s1|118-126|phenytoin|drug
DDI-DrugBank.d367.s1|131-142|indomethacin|drug
DDI-DrugBank.d367.s3|135-139|alpha|group
DDI-DrugBank.d367.s3|193-197|drugs|group
DDI-DrugBank.d367.s5|46-54|doxazosin|group
DDI-DrugBank.d367.s6|20-37|doxazosin mesylate|group
DDI-DrugBank.d367.s8|84-97|anticoagulants|group
DDI-DrugBank.d367.s8|100-116|antifungal agents|group
DDI-DrugBank.d367.s8|119-133|anticonvulsants|group
DDI-DrugBank.d367.s8|136-152|antifungal agents|group
DDI-DrugBank.d367.s8|155-174|antimicrobial agents|group
DDI-DrugBank.d367.s8|177-193|antifungal agents|group
DDI-DrugBank.d367.s8|196-209|anticoagulants|group
DDI-DrugBank.d367.s8|212-228|antifungal agents|group
DDI-DrugBank.d367.s8|231-245|anticonvulsants|group
DDI-DrugBank.d367.s8|248-264|antifungal agents|group
DDI-DrugBank.d367.s8|267-280|anticoagulants|group
DDI-DrugBank.d367.s8|283-299|antifungal agents|group
DDI-DrugBank.d367.s8|302-316|anticonvulsants|group
DDI-DrugBank.d367.s8|319-335|antifungal agents|group
DDI-DrugBank.d367.s8|338-351|anticoagulants|group
DDI-DrugBank.d367.s8|354-370|antifungal agents|group
DDI-DrugBank.d367.s8|373-387|anticonvulsants|group
DDI-DrugBank.d367.s8|390-406|antifungal agents|group
DDI-DrugBank.d367.s8|409-422|anticoagulants|group
DDI-DrugBank.d367.s8|425-441|antifungal agents|group
DDI-DrugBank.d367.s8|444-458|anticonvulsants|group
DDI-DrugBank.d367.s8|461-477|antifungal agents|group
DDI-DrugBank.d367.s10|3-16|anticoagulants|group
DDI-DrugBank.d367.s10|18-29|glutethimide|drug
DDI-DrugBank.d367.s10|31-37|aspirin|brand
DDI-DrugBank.d367.s10|39-55|clostridium toxin|drug_n
DDI-DrugBank.d367.s10|57-73|antifungal agents|group
DDI-DrugBank.d367.s10|124-134|antibiotics|group
DDI-DrugBank.d367.s10|167-171|xanax|brand
DDI-DrugBank.d367.s10|222-238|antifungal agents|group
DDI-DrugBank.d367.s10|289-299|antibiotics|group
DDI-DrugBank.d367.s11|19-30|erythromycin|group
DDI-DrugBank.d367.s11|33-65|trimethoprim and sulfamethoxazole|group
DDI-DrugBank.d367.s11|68-78|amoxicillin|group
DDI-DrugBank.d367.s12|3-16|anticoagulants|group
DDI-DrugBank.d367.s12|18-24|aspirin|drug
DDI-DrugBank.d367.s12|26-42|antifungal agents|group
DDI-DrugBank.d367.s12|136-147|glutethimide|drug
DDI-DrugBank.d367.s14|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s14|23-34|glutethimide|drug
DDI-DrugBank.d367.s14|38-44|aspirin|brand
DDI-DrugBank.d367.s14|144-149|heroin|drug
DDI-DrugBank.d367.s15|29-36|atenolol|group
DDI-DrugBank.d367.s15|39-57|hydrochlorothiazide|group
DDI-DrugBank.d367.s15|60-70|propranolol|group
DDI-DrugBank.d367.s16|3-16|anticoagulants|group
DDI-DrugBank.d367.s16|18-24|heparin|drug
DDI-DrugBank.d367.s16|26-33|warfarin|drug
DDI-DrugBank.d367.s16|115-131|antifungal agents|group
DDI-DrugBank.d367.s16|133-143|fluconazole|drug
DDI-DrugBank.d367.s16|145-158|amphotericin B|drug
DDI-DrugBank.d367.s16|160-170|antibiotics|group
DDI-DrugBank.d367.s16|172-181|penicillin|drug
DDI-DrugBank.d367.s16|183-194|streptomycin|drug
DDI-DrugBank.d367.s16|276-290|antidepressants|group
DDI-DrugBank.d367.s16|292-304|amitriptyline|drug
DDI-DrugBank.d367.s16|306-315|fluoxetine|drug
DDI-DrugBank.d367.s16|317-333|antifungal agents|group
DDI-DrugBank.d367.s16|335-346|clotrimazole|drug
DDI-DrugBank.d367.s16|348-358|terconazole|drug
DDI-DrugBank.d367.s16|360-373|anticoagulants|group
DDI-DrugBank.d367.s16|375-381|aspirin|drug
DDI-DrugBank.d367.s16|463-479|antifungal agents|group
DDI-DrugBank.d367.s16|481-491|fluconazole|drug
DDI-DrugBank.d367.s18|3-16|anticoagulants|group
DDI-DrugBank.d367.s18|54-60|heparin|drug
DDI-DrugBank.d367.s18|77-93|antifungal agents|group
DDI-DrugBank.d367.s18|132-145|amphotericin B|drug
DDI-DrugBank.d367.s18|242-261|antibacterial agents|group
DDI-DrugBank.d367.s18|303-317|chloramphenicol|drug
DDI-DrugBank.d367.s18|399-413|antidepressants|group
DDI-DrugBank.d367.s18|445-454|fluoxetine|drug
DDI-DrugBank.d367.s18|471-487|antifungal agents|group
DDI-DrugBank.d367.s18|526-536|fluconazole|drug
DDI-DrugBank.d367.s19|31-38|antacids|group
DDI-DrugBank.d367.s20|3-16|anticoagulants|group
DDI-DrugBank.d367.s20|22-33|glutethimide|drug
DDI-DrugBank.d367.s20|53-74|cardiovascular disease|group
DDI-DrugBank.d367.s20|80-100|neurological disorder|group
DDI-DrugBank.d367.s20|116-122|aspirin|brand
DDI-DrugBank.d367.s20|141-160|acetylsalicylic acid|group
DDI-DrugBank.d367.s20|170-194|gastrointestinal disorder|group
DDI-DrugBank.d367.s20|257-274|infectious disease|group
DDI-DrugBank.d367.s20|280-301|toxin-induced disorder|group
DDI-DrugBank.d367.s20|370-397|amphetamine-induced disorder|group
DDI-DrugBank.d367.s20|403-424|hyperactivity disorder|group
DDI-DrugBank.d367.s22|25-42|acetilsalicic acid|drug
DDI-DrugBank.d367.s22|188-194|aspirin|brand
DDI-DrugBank.d367.s22|249-265|Clostridium toxin|drug_n
DDI-DrugBank.d367.s22|330-345|antifungal agent|group
DDI-DrugBank.d367.s23|0-8|sedatives|drug
DDI-DrugBank.d367.s23|14-26|tranquilizers|group
DDI-DrugBank.d367.s23|35-42|diazepam|drug
DDI-DrugBank.d367.s24|3-16|anticoagulants|group
DDI-DrugBank.d367.s24|18-24|heparin|drug
DDI-DrugBank.d367.s24|26-33|warfarin|drug
DDI-DrugBank.d367.s24|35-41|aspirin|drug
DDI-DrugBank.d367.s24|123-139|antifungal agents|group
DDI-DrugBank.d367.s24|141-151|fluconazole|drug
DDI-DrugBank.d367.s24|153-164|triazolamide|drug
DDI-DrugBank.d367.s24|166-182|clostridium toxin|drug_n
DDI-DrugBank.d367.s24|184-194|antibiotics|group
DDI-DrugBank.d367.s24|196-205|penicillin|drug
DDI-DrugBank.d367.s24|207-218|streptomycin|drug
DDI-DrugBank.d367.s24|300-316|antifungal agents|group
DDI-DrugBank.d367.s24|318-328|fluconazole|drug
DDI-DrugBank.d367.s24|330-341|triazolamide|drug
DDI-DrugBank.d367.s24|343-359|clostridium toxin|drug_n
DDI-DrugBank.d367.s24|361-371|antibiotics|group
DDI-DrugBank.d367.s24|373-382|penicillin|drug
DDI-DrugBank.d367.s24|384-395|streptomycin|drug
DDI-DrugBank.d223.s0|0-22|metabolized by P450 2D6|drug
DDI-DrugBank.d223.s0|57-60|drug|drug
DDI-DrugBank.d223.s0|104-114|debrisoquin|drug
DDI-DrugBank.d223.s2|69-93|tricyclic antidepressants|group
DDI-DrugBank.d223.s3|0-167|Depending on the fraction of drug metabolized by P450 2D6, the increase in plasma concentration may be small, or quite large (8-fold increase in plasma AUC of the TCA).|drug
DDI-DrugBank.d223.s5|47-71|tricyclic antidespairants|group
DDI-DrugBank.d223.s5|123-139|inhibiting agents|group
DDI-DrugBank.d223.s8|69-78|citalopram|drug
DDI-DrugBank.d223.s8|81-92|escitalopram|drug
DDI-DrugBank.d223.s8|95-104|fluoxetine|drug
DDI-DrugBank.d223.s8|107-116|sertraline|drug
DDI-DrugBank.d223.s8|123-132|paroxetine|drug
DDI-DrugBank.d223.s9|20-40|SSRI-TCA interactions|group
DDI-DrugBank.d223.s9|141-153|anticoagulant|group
DDI-DrugBank.d223.s10|63-76|anticoagulants|group
DDI-DrugBank.d223.s10|94-110|antifungal agents|group
DDI-DrugBank.d223.s12|19-43|tricyclic antidepressants|group
DDI-DrugBank.d223.s12|156-179|tricyclic antidepressant|group
DDI-DrugBank.d223.s14|27-37|metabolites|group
